@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.822048,1.883766,1.834515,1.66918,1.862579,1.873431,2.265793,1.899258,1.219999,1.569898,1.864611,1.827503,1.942869,1.802509,1.854471,1.82234,1.595738,1.563426,1.879312,1.968557,13
1.826614,1.911226,1.869516,1.662178,1.888135,1.909028,2.275406,1.910758,1.25433,1.590849,1.89631,1.858462,1.987796,1.830824,1.882798,1.855377,1.595907,1.604665,1.909916,2.000879,13
1.819863,1.88373,1.827803,1.64828,1.877162,1.855077,2.250723,1.837994,1.213479,1.602805,1.845856,1.831573,1.903269,1.8115,1.83806,1.809885,1.55615,1.53753,1.875556,1.950316,13
1.758761,1.875352,1.82782,1.637341,1.865904,1.872941,2.248018,1.882056,1.185428,1.607701,1.846544,1.83033,1.910741,1.81129,1.815987,1.799383,1.55085,1.545449,1.884858,1.949991,13
2.047516,1.885213,1.824458,2.110631,1.886221,1.84499,2.235179,1.940755,1.217663,1.679028,1.818733,1.837988,1.876204,1.852529,1.80014,1.794388,2.045,1.507767,1.854202,1.895822,13
1.813572,1.872943,1.790303,1.645544,1.886486,1.800811,2.271941,1.740639,1.223106,1.663334,1.784628,1.8241,1.797377,1.822302,1.788025,1.777449,1.549903,1.463273,1.841039,1.885769,13
1.823167,1.917149,1.860642,1.814769,1.930264,1.88214,2.157598,1.572612,1.312586,1.784238,1.851519,1.881718,1.893845,1.892086,1.833226,1.832935,1.736566,1.549432,1.90387,1.939444,13
1.77775,1.883234,1.828568,1.62164,1.879677,1.863934,2.254107,1.828736,1.205323,1.618997,1.836143,1.84025,1.892454,1.825866,1.815667,1.807058,1.542769,1.535051,1.880387,1.940659,13
1.790234,1.8772,1.83272,1.650888,1.860308,1.871967,2.257073,1.880146,1.214997,1.581978,1.8538,1.82744,1.935866,1.805676,1.835137,1.812648,1.578017,1.553849,1.876892,1.957705,13
1.745385,1.821265,1.76956,1.663415,1.813159,1.80761,2.210813,1.809681,1.161528,1.581539,1.783087,1.773915,1.848876,1.763677,1.759461,1.743196,1.582977,1.467266,1.818294,1.883557,13
1.792668,1.863561,1.815871,1.670556,1.839789,1.860531,2.273607,1.913179,1.222101,1.555843,1.840722,1.810856,1.928648,1.792815,1.827364,1.807793,1.621716,1.542588,1.857302,1.943359,13
1.791387,1.924522,1.821969,1.582252,1.898254,1.893291,2.326709,1.958977,1.239608,1.702887,1.860382,1.864231,1.870205,1.86557,1.880643,1.885448,1.612957,1.583914,1.896688,1.968411,13
1.74137,1.855783,1.814939,1.64256,1.831897,1.867478,2.25772,1.889355,1.209722,1.565729,1.831071,1.81159,1.929037,1.797041,1.803646,1.800764,1.606386,1.539406,1.856392,1.933468,13
1.887293,1.917426,1.822887,1.632024,1.907495,1.872268,2.331545,1.979863,1.217855,1.691049,1.889338,1.86096,1.851641,1.843728,1.93119,1.884296,1.598711,1.589098,1.910589,1.995613,13
2.371141,2.17541,2.071644,2.290878,2.182189,2.103397,2.339547,1.922638,1.44192,2.006794,2.11065,2.119129,2.027422,2.139542,2.139534,2.103645,2.226673,1.835657,2.142798,2.181964,13
1.837256,1.931148,1.833788,1.618377,1.89601,1.912516,2.330507,2.074631,1.188709,1.66403,1.907646,1.856488,1.907693,1.838291,1.92322,1.885333,1.595065,1.620636,1.92414,2.016667,13
1.926257,1.981315,1.881913,1.65688,1.939701,1.948995,2.386465,2.127919,1.279145,1.690649,1.962934,1.897165,1.972141,1.872615,2.000413,1.948518,1.641361,1.681075,1.960458,2.07283,13
1.89949,1.941798,1.824883,1.682257,1.912868,1.875054,2.365812,2.003237,1.301294,1.727098,1.882701,1.859752,1.87759,1.857158,1.934966,1.900964,1.68356,1.58958,1.891872,1.986474,13
1.926068,1.964739,1.856306,1.647391,1.93262,1.907289,2.379859,2.05527,1.282464,1.698413,1.925015,1.880059,1.924743,1.861603,1.973868,1.924772,1.625892,1.633954,1.928225,2.034531,13
1.905756,1.953079,1.840922,1.647886,1.921949,1.897179,2.370372,2.04085,1.271021,1.702955,1.906491,1.87139,1.898989,1.859722,1.952873,1.912793,1.638219,1.616335,1.915808,2.014519,13
1.723285,1.831714,1.783401,1.634826,1.816806,1.831459,2.234426,1.844217,1.174055,1.57561,1.795347,1.788016,1.874178,1.778497,1.767998,1.765009,1.582774,1.492457,1.830584,1.897281,13
1.723817,1.793653,1.737699,1.691853,1.791492,1.779282,2.157682,1.757731,1.131408,1.615015,1.750307,1.74843,1.79883,1.746306,1.719746,1.705597,1.603111,1.425039,1.794276,1.847245,13
1.751401,1.844302,1.807315,1.663115,1.821286,1.86171,2.23945,1.919059,1.173554,1.553959,1.835093,1.796616,1.925077,1.775395,1.801486,1.781243,1.595581,1.534773,1.857537,1.937825,13
1.711755,1.854476,1.824934,1.630036,1.84686,1.879739,2.246431,1.887507,1.189485,1.60561,1.837389,1.829547,1.913132,1.813889,1.793443,1.795097,1.575554,1.54573,1.881024,1.937112,13
1.785514,1.934656,1.889899,1.679915,1.923098,1.940957,2.293764,1.928183,1.285219,1.675515,1.898918,1.897434,1.97319,1.883443,1.860843,1.864524,1.625606,1.619202,1.942129,1.997082,13
1.729908,1.884694,1.841428,1.628113,1.872226,1.893293,2.238649,1.891816,1.202861,1.620606,1.851483,1.845926,1.929206,1.83162,1.811423,1.812215,1.567032,1.562431,1.89476,1.950389,13
2.09118,2.048135,2.027851,2.057728,2.073312,2.04265,2.208706,1.747743,1.382516,1.829771,2.040816,2.034441,2.06232,2.031126,2.026169,1.99321,1.96277,1.757155,2.076291,2.120405,13
1.999456,1.86831,1.841536,2.144503,1.835085,1.894173,2.27636,2.144789,1.247581,1.63675,1.861346,1.814702,2.006505,1.809751,1.819191,1.806732,2.106186,1.571438,1.865261,1.943333,13
1.714174,1.810133,1.762625,1.671866,1.797794,1.805379,2.199367,1.795606,1.171474,1.580537,1.772409,1.765203,1.854231,1.759557,1.744413,1.737565,1.610962,1.460452,1.805703,1.870659,13
1.676829,1.799644,1.80214,1.614634,1.807995,1.844079,2.266291,1.848148,1.213094,1.57987,1.80641,1.811427,1.889413,1.794212,1.769623,1.777597,1.595735,1.513154,1.847056,1.899352,13
1.693044,1.768922,1.740943,1.671453,1.774694,1.777827,2.186084,1.764911,1.15117,1.583979,1.751011,1.749903,1.813236,1.742124,1.721012,1.710244,1.606237,1.430131,1.790853,1.845608,13
1.728577,1.85134,1.813142,1.601713,1.841469,1.861418,2.256946,1.855901,1.197902,1.582519,1.824755,1.82164,1.901773,1.80581,1.797534,1.798747,1.563378,1.531781,1.86222,1.927371,13
2.001503,1.826274,1.789975,2.082227,1.815205,1.828664,2.282399,2.069537,1.200835,1.621277,1.805682,1.791702,1.901065,1.790077,1.788308,1.778656,2.055608,1.503963,1.823081,1.887542,13
2.011731,1.838177,1.782479,2.121358,1.811236,1.829775,2.281383,2.102625,1.215253,1.645896,1.803617,1.776505,1.910094,1.779995,1.780921,1.767491,2.08576,1.498701,1.813099,1.884948,13
1.848015,1.956284,1.916374,1.729717,1.937779,1.958679,2.320685,1.940592,1.351614,1.681567,1.928041,1.914303,2.019534,1.899271,1.906882,1.902564,1.689067,1.651559,1.953518,2.027123,13
1.714669,1.821719,1.779092,1.689015,1.809,1.822783,2.183106,1.767388,1.20438,1.597458,1.781642,1.781981,1.874538,1.78062,1.751333,1.755557,1.645168,1.477865,1.816085,1.877984,13
1.710993,1.850307,1.81567,1.649246,1.827656,1.874167,2.247075,1.873147,1.214972,1.578826,1.822685,1.814407,1.928558,1.805163,1.782347,1.795219,1.624324,1.536494,1.856332,1.923261,13
1.721874,1.854246,1.81595,1.643918,1.83953,1.865565,2.237108,1.838386,1.213366,1.594903,1.818664,1.818519,1.912882,1.809745,1.782027,1.791564,1.602797,1.526949,1.857535,1.919578,13
1.697652,1.819293,1.781095,1.66397,1.800509,1.838155,2.221517,1.843932,1.182857,1.573878,1.787817,1.782384,1.884614,1.776902,1.74584,1.755997,1.627254,1.490951,1.824891,1.886864,13
1.828539,1.92574,1.804852,1.65235,1.921609,1.844268,2.237634,1.758314,1.260771,1.776024,1.830894,1.860114,1.806644,1.871049,1.871941,1.864352,1.638394,1.53268,1.876207,1.9339,13
1.859187,1.9282,1.807943,1.615327,1.907283,1.854136,2.344412,1.927911,1.265582,1.721378,1.852195,1.852029,1.842262,1.850759,1.901954,1.880803,1.615774,1.55768,1.876637,1.959846,13
1.805979,1.926026,1.817704,1.557338,1.903468,1.876697,2.338172,1.949335,1.233255,1.698739,1.857796,1.859062,1.86278,1.85459,1.889621,1.881923,1.568544,1.573449,1.891419,1.96932,13
1.76747,1.858843,1.769615,1.591755,1.855705,1.807219,2.31356,1.843942,1.248429,1.699086,1.795249,1.815583,1.802643,1.816806,1.833522,1.828027,1.605722,1.495166,1.83061,1.898763,13
1.808094,1.947801,1.872532,1.578262,1.901958,1.95072,2.360501,2.068845,1.279472,1.659121,1.923575,1.884983,1.989327,1.868672,1.936306,1.929728,1.622047,1.66048,1.933468,2.034685,13
2.138981,2.152189,2.012821,1.875715,2.177771,2.025204,2.369528,1.682652,1.483444,2.026098,2.033508,2.093015,1.911583,2.107315,2.093652,2.0722,1.806638,1.752256,2.099335,2.128097,13
1.916574,2.016892,1.934171,1.661865,1.964112,2.009625,2.44626,2.175259,1.389479,1.720232,1.9963,1.945602,2.054922,1.928245,2.026945,2.0094,1.718262,1.742073,1.99112,2.104699,13
1.847898,1.877702,1.815123,1.800727,1.837597,1.885426,2.216266,2.071051,1.060211,1.487261,1.866424,1.810759,1.940558,1.796096,1.850021,1.823227,1.769307,1.578845,1.876403,1.954368,13
1.887085,1.91294,1.876386,1.86304,1.893662,1.914431,2.177924,2.009675,1.145668,1.579523,1.902187,1.857825,1.98467,1.843141,1.865256,1.83108,1.768945,1.605278,1.918442,1.975769,13
1.807453,1.850884,1.813711,1.809844,1.822092,1.883912,2.194819,2.0014,1.05584,1.510616,1.852101,1.802054,1.934238,1.787906,1.805896,1.784427,1.748856,1.555407,1.872425,1.946234,13
1.909169,1.589966,1.464693,1.973003,1.591154,1.468108,2.495486,1.98075,1.520658,1.938631,1.440197,1.516117,1.479984,1.561423,1.468947,1.481679,1.948641,1.028992,1.479431,1.520988,13
1.839747,1.545171,1.431409,1.952136,1.527056,1.461842,2.468298,2.032068,1.468713,1.890659,1.429071,1.465696,1.5031,1.505318,1.44399,1.450671,1.940579,1.020435,1.452391,1.513706,13
1.82072,1.871409,1.818684,1.774954,1.839321,1.88951,2.209711,1.997931,1.053265,1.477976,1.860125,1.816657,1.935473,1.800959,1.830304,1.812728,1.734838,1.570506,1.879723,1.956296,13
1.811266,1.890154,1.841683,1.78014,1.850213,1.927026,2.243507,2.054795,1.088082,1.486066,1.885311,1.839667,1.970513,1.826442,1.851202,1.845753,1.770067,1.610046,1.904673,1.984658,13
1.759169,1.492331,1.450386,1.93504,1.46688,1.504574,2.37065,2.077019,1.39095,1.806766,1.471252,1.448214,1.578196,1.473413,1.442041,1.436094,1.92341,1.080333,1.474786,1.536357,13
1.791259,1.509852,1.442059,1.967253,1.458654,1.502674,2.429618,2.123539,1.454219,1.832477,1.470964,1.425324,1.632645,1.439753,1.453933,1.44217,1.961378,1.082822,1.455178,1.559028,13
1.831909,1.873002,1.828923,1.802797,1.84218,1.893223,2.2099,2.002995,1.079044,1.466058,1.866799,1.818637,1.958378,1.79832,1.831725,1.810639,1.749695,1.575611,1.883469,1.960723,13
1.808368,1.876413,1.865412,1.772096,1.859897,1.926098,2.22361,1.970743,1.111262,1.474,1.894152,1.857015,1.98717,1.833281,1.850937,1.839977,1.733878,1.611697,1.916644,1.988494,13
1.777838,1.514645,1.445441,1.959141,1.475524,1.492333,2.398069,2.081802,1.421927,1.825452,1.458051,1.436497,1.595475,1.463705,1.434154,1.426718,1.937594,1.061069,1.45546,1.529169,13
1.810252,1.525619,1.435137,1.942862,1.489419,1.4743,2.453141,2.070377,1.482445,1.867187,1.437385,1.442528,1.585222,1.468452,1.445297,1.454114,1.950606,1.04614,1.44136,1.528489,13
1.828651,1.864366,1.81344,1.790144,1.833324,1.880648,2.197144,1.998975,1.048741,1.476764,1.856712,1.807229,1.933699,1.788698,1.825046,1.800438,1.735911,1.562075,1.873909,1.950307,13
1.825758,1.863684,1.817972,1.797752,1.832592,1.885486,2.208801,2.007776,1.056386,1.480438,1.861502,1.808469,1.941253,1.790777,1.828071,1.800827,1.741418,1.566028,1.877285,1.958442,13
1.774776,1.509448,1.436719,1.94643,1.456762,1.507338,2.404078,2.128438,1.408973,1.817227,1.476092,1.423828,1.613758,1.441662,1.457214,1.440936,1.93891,1.088102,1.46284,1.561958,13
1.791101,1.549385,1.472744,1.938861,1.532486,1.537556,2.403916,2.05908,1.367557,1.832395,1.501668,1.497959,1.524637,1.533733,1.47128,1.461364,1.90397,1.107066,1.524972,1.572611,13
1.855587,1.868308,1.817907,1.814374,1.841167,1.877168,2.206815,1.994567,1.069619,1.468169,1.86113,1.808988,1.939593,1.784873,1.830916,1.798302,1.74236,1.561092,1.876701,1.955766,13
1.845868,1.869578,1.826883,1.81379,1.842455,1.885467,2.210879,1.99578,1.072287,1.481979,1.867211,1.814123,1.94915,1.793836,1.834831,1.802118,1.742301,1.568104,1.882351,1.963855,13
1.858927,1.538393,1.443196,2.027833,1.520568,1.462324,2.465431,2.041851,1.505612,1.910111,1.441535,1.457378,1.538257,1.495828,1.446272,1.436301,1.993745,1.022561,1.449973,1.517244,13
1.902303,1.617466,1.552872,2.076978,1.571244,1.601552,2.507604,2.208535,1.578468,1.940628,1.581142,1.535216,1.726627,1.55158,1.571169,1.550553,2.063156,1.221297,1.561454,1.660723,13
1.842223,1.864307,1.815431,1.803509,1.836628,1.879005,2.198567,1.998129,1.049969,1.484512,1.861608,1.806412,1.932812,1.784662,1.828788,1.794968,1.73044,1.560831,1.877786,1.956686,13
1.844237,1.860811,1.815441,1.81239,1.83428,1.875806,2.201769,1.997346,1.052043,1.493381,1.860146,1.803759,1.931798,1.78413,1.828113,1.790949,1.734798,1.556831,1.875471,1.956592,13
1.806239,1.514137,1.44506,1.969974,1.472976,1.496208,2.39996,2.096085,1.412208,1.818724,1.478795,1.429114,1.603538,1.445432,1.459243,1.427101,1.931077,1.074584,1.465857,1.560418,13
1.886823,1.552014,1.438386,1.996295,1.54154,1.450654,2.475813,2.025902,1.490237,1.910636,1.436671,1.468676,1.495149,1.507839,1.457129,1.444462,1.957831,1.011667,1.454182,1.515308,13
1.907865,1.951055,1.898432,1.856424,1.921626,1.966087,2.264166,2.07238,1.177231,1.591434,1.94239,1.896941,2.004118,1.881762,1.914479,1.891493,1.808958,1.663268,1.960847,2.034345,13
1.818535,1.856802,1.807559,1.790955,1.825977,1.87931,2.200298,2.008857,1.035549,1.499204,1.854666,1.801283,1.922049,1.785967,1.820666,1.792798,1.733697,1.55707,1.872523,1.951186,13
1.798234,1.530763,1.434243,1.920174,1.507743,1.47956,2.415737,2.029141,1.402592,1.836885,1.444078,1.455793,1.52099,1.48927,1.437791,1.437183,1.897006,1.038413,1.464652,1.528192,13
1.766864,1.516192,1.431029,1.934896,1.466312,1.50264,2.422765,2.118727,1.418089,1.833068,1.464664,1.43098,1.596272,1.45381,1.456695,1.452557,1.941987,1.080928,1.461269,1.556677,13
1.830046,1.864015,1.813849,1.796308,1.83082,1.882501,2.207137,2.020897,1.050629,1.477753,1.860519,1.80542,1.937389,1.788446,1.831948,1.803752,1.74485,1.565841,1.874826,1.956268,13
1.839808,1.88726,1.831908,1.789116,1.851662,1.890493,2.131336,2.038954,1.074295,1.490471,1.869837,1.826872,1.953675,1.813529,1.851124,1.831344,1.751788,1.584254,1.882773,1.935281,13
1.838501,1.532755,1.437907,1.974875,1.515481,1.463725,2.439853,2.02325,1.461777,1.876992,1.435348,1.456642,1.522513,1.494124,1.434879,1.431681,1.943914,1.019358,1.45153,1.513065,13
1.787556,1.510541,1.441501,1.965726,1.470816,1.49599,2.410797,2.087543,1.421337,1.824264,1.466086,1.431472,1.595728,1.452877,1.442371,1.425719,1.938198,1.065346,1.460916,1.548714,13
1.819776,1.856132,1.82033,1.816467,1.82879,1.882988,2.192922,1.994928,1.068556,1.499043,1.854973,1.805936,1.944371,1.790106,1.811896,1.788582,1.750623,1.557826,1.873822,1.947408,13
1.792693,1.876285,1.84131,1.788536,1.843561,1.915638,2.218925,2.008219,1.090671,1.486151,1.873468,1.831583,1.972324,1.817679,1.827472,1.821308,1.755162,1.591072,1.895041,1.969665,13
1.786487,1.526502,1.470543,1.974101,1.493584,1.518912,2.397169,2.06434,1.425904,1.815121,1.482586,1.457664,1.616165,1.478768,1.441171,1.430876,1.933698,1.086615,1.484228,1.556502,13
1.748695,1.514531,1.460602,1.940841,1.465689,1.531621,2.398261,2.105232,1.41025,1.801159,1.486392,1.442492,1.642617,1.458371,1.447675,1.444024,1.929662,1.1068,1.481823,1.573803,13
1.833274,1.875986,1.829787,1.792667,1.84737,1.892348,2.200641,1.980869,1.081323,1.474844,1.864121,1.823502,1.950977,1.804671,1.828553,1.809445,1.740381,1.572672,1.883245,1.958256,13
1.819616,1.868288,1.83113,1.815222,1.834697,1.900457,2.224215,2.022771,1.092231,1.471821,1.867258,1.817801,1.968983,1.800494,1.827095,1.810664,1.772478,1.579687,1.883658,1.963919,13
1.794261,1.513955,1.433313,1.98055,1.479482,1.48157,2.429692,2.071526,1.45076,1.856193,1.446942,1.435297,1.569985,1.466367,1.431963,1.426813,1.963062,1.043223,1.448787,1.527633,13
1.844448,1.617359,1.542837,2.015341,1.565367,1.61517,2.502955,2.206927,1.553058,1.923474,1.567878,1.541658,1.714869,1.562892,1.553822,1.564679,2.040714,1.227993,1.563747,1.653734,13
1.808793,1.877882,1.826977,1.771688,1.844256,1.902886,2.21067,1.998608,1.07131,1.477222,1.865194,1.826527,1.947724,1.812397,1.830478,1.822937,1.745374,1.582018,1.887021,1.960687,13
1.798436,1.894612,1.848307,1.764231,1.857223,1.931558,2.233754,2.02466,1.09019,1.494288,1.885784,1.847872,1.971784,1.836594,1.848574,1.84892,1.755367,1.611906,1.908469,1.983924,13
1.774402,1.511986,1.43631,1.952698,1.45773,1.502502,2.427192,2.126722,1.450591,1.83651,1.466798,1.424602,1.63109,1.441181,1.45648,1.450741,1.961599,1.085191,1.453421,1.55853,13
1.759597,1.515612,1.434783,1.924112,1.465359,1.509888,2.418994,2.115005,1.411022,1.818352,1.466923,1.43429,1.601055,1.45495,1.449582,1.449467,1.930918,1.085555,1.465046,1.55745,13
1.818359,1.880154,1.830115,1.780203,1.844529,1.904845,2.213776,2.021239,1.075377,1.470976,1.871093,1.825979,1.956706,1.810554,1.838862,1.826772,1.75228,1.587846,1.889143,1.965911,13
1.823355,1.889432,1.837578,1.771188,1.852526,1.916923,2.231954,2.034839,1.073906,1.47977,1.88256,1.83606,1.960522,1.820394,1.85248,1.839722,1.748068,1.601904,1.901042,1.98157,13
1.767834,1.520577,1.43761,1.94651,1.471341,1.499509,2.438089,2.109543,1.469876,1.85222,1.453014,1.437407,1.618298,1.461234,1.44587,1.45814,1.968202,1.076093,1.45073,1.542308,13
1.76541,1.517143,1.43537,1.94355,1.475085,1.501416,2.427686,2.091584,1.429642,1.835837,1.454786,1.440745,1.581751,1.468959,1.434407,1.440773,1.945019,1.066755,1.459748,1.539877,13
1.80272,1.88244,1.839382,1.774716,1.848278,1.914833,2.221112,2.012519,1.087054,1.483958,1.87215,1.835274,1.964577,1.823039,1.83316,1.830501,1.753118,1.593075,1.89479,1.967625,13
1.807394,1.886843,1.84608,1.78381,1.850848,1.924333,2.231939,2.025705,1.097981,1.475924,1.881483,1.839945,1.978877,1.824516,1.840181,1.8364,1.762616,1.604101,1.902145,1.978839,13
1.755886,1.513301,1.454629,1.952762,1.46462,1.520527,2.401756,2.10573,1.425689,1.811705,1.476976,1.438292,1.636587,1.456552,1.442185,1.439782,1.944333,1.094874,1.470433,1.558954,13
1.754093,1.51904,1.438617,1.922822,1.473377,1.507363,2.427958,2.095463,1.431282,1.826145,1.456539,1.442307,1.601256,1.465797,1.438983,1.451748,1.93582,1.077673,1.461974,1.547383,13
1.801557,1.881916,1.835345,1.770254,1.847299,1.911397,2.216868,2.00716,1.079917,1.484234,1.869984,1.833118,1.95837,1.821177,1.83338,1.829853,1.749793,1.590312,1.892231,1.9649,13
1.823548,1.909932,1.863429,1.787195,1.86929,1.946453,2.256683,2.048655,1.128933,1.474424,1.901203,1.861355,2.000088,1.845628,1.865278,1.866707,1.785625,1.632632,1.919984,1.999124,13
1.825486,1.547856,1.444986,1.945024,1.529265,1.474348,2.459949,2.018515,1.486773,1.891994,1.428685,1.47542,1.531082,1.515704,1.436633,1.460282,1.946214,1.032085,1.455755,1.512515,13
1.769116,1.527208,1.46187,1.935667,1.464197,1.535613,2.441587,2.152729,1.477368,1.827677,1.490235,1.442478,1.691972,1.446878,1.476525,1.483429,1.964544,1.131545,1.474387,1.589953,13
1.821093,1.876687,1.837741,1.802129,1.845599,1.898513,2.223829,2.010471,1.096518,1.475757,1.865743,1.826927,1.967974,1.812562,1.831307,1.81973,1.761241,1.580062,1.884786,1.954311,13
1.809904,1.875196,1.838282,1.806743,1.839335,1.911384,2.231886,2.030783,1.101491,1.473556,1.871614,1.826978,1.977726,1.812029,1.830302,1.822327,1.778554,1.590497,1.889631,1.967545,13
1.745734,1.519118,1.453116,1.941404,1.458266,1.534232,2.42854,2.145722,1.453163,1.831254,1.481267,1.440046,1.660386,1.457396,1.456434,1.467149,1.968591,1.117749,1.471077,1.573131,13
1.755199,1.522872,1.467285,1.932115,1.463992,1.545612,2.446276,2.159085,1.493079,1.836345,1.4936,1.455038,1.696611,1.460493,1.480421,1.499581,1.98353,1.146453,1.481695,1.590249,13
1.817608,1.876623,1.837262,1.799633,1.844942,1.907955,2.21737,2.00702,1.091159,1.470778,1.872912,1.827493,1.969748,1.808078,1.830116,1.817162,1.755284,1.586735,1.892437,1.968573,13
1.816042,1.891435,1.852068,1.79718,1.854563,1.929015,2.24272,2.034598,1.117324,1.47096,1.885465,1.844648,1.990333,1.828857,1.844864,1.842637,1.779891,1.610372,1.905066,1.98294,13
1.77639,1.51535,1.467279,1.968371,1.466534,1.527913,2.414824,2.130237,1.461822,1.817267,1.492612,1.449265,1.664028,1.458473,1.460171,1.451871,1.969649,1.117869,1.475496,1.565471,13
1.764991,1.486104,1.441961,1.955689,1.45879,1.49784,2.435656,2.08113,1.450142,1.831443,1.45685,1.443464,1.590369,1.464578,1.431142,1.436417,1.960881,1.067974,1.45919,1.536384,13
1.820569,1.871333,1.833776,1.803894,1.841348,1.900394,2.206294,2.0007,1.08367,1.4782,1.868475,1.821667,1.963893,1.803346,1.826332,1.809331,1.751661,1.578788,1.887365,1.963133,13
1.810095,1.883757,1.847047,1.788094,1.851825,1.919082,2.224238,2.004046,1.099016,1.481152,1.877524,1.838921,1.976247,1.823797,1.834374,1.828985,1.756034,1.59669,1.899793,1.974879,13
1.77519,1.509799,1.445215,1.966224,1.461813,1.507597,2.418333,2.109158,1.443442,1.830056,1.468502,1.431368,1.62363,1.451892,1.441313,1.43596,1.958829,1.080398,1.45875,1.551509,13
1.746349,1.515475,1.450634,1.939137,1.456897,1.531194,2.420581,2.141495,1.438264,1.824872,1.479372,1.438115,1.647701,1.457018,1.45201,1.46015,1.95899,1.111404,1.470904,1.568482,13
1.826673,1.875715,1.830513,1.803963,1.840587,1.896921,2.216259,2.017432,1.091726,1.47345,1.86654,1.821244,1.965023,1.803387,1.829659,1.811973,1.764426,1.579801,1.880841,1.956543,13
1.812258,1.865155,1.825761,1.800798,1.83358,1.890031,2.181314,2.005436,1.074989,1.486485,1.858756,1.814541,1.954013,1.799827,1.819463,1.80229,1.752139,1.568496,1.876506,1.944664,13
1.808337,1.522611,1.437725,1.967144,1.494721,1.472868,2.435078,2.051341,1.467293,1.868854,1.43368,1.447449,1.556392,1.483805,1.426563,1.434566,1.956061,1.031237,1.444032,1.510005,13
1.867232,1.650974,1.590435,2.067231,1.609305,1.660461,2.503298,2.211351,1.562303,1.947577,1.610934,1.588505,1.726059,1.618587,1.575297,1.582499,2.065826,1.271008,1.614425,1.68335,13
1.824777,1.884825,1.842052,1.798604,1.851694,1.909429,2.222252,2.007756,1.105106,1.463301,1.873081,1.834292,1.975738,1.81656,1.836119,1.828709,1.766166,1.59165,1.892604,1.965984,13
