@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.440468,1.142059,1.932143,2.04726,13
1.851479,1.582327,1.800459,1.919617,13
1.855376,1.606155,1.797605,1.940977,13
1.489345,1.144933,1.977404,2.057604,13
1.4699,1.061959,1.955067,2.009127,13
1.852005,1.574685,1.804831,1.913291,13
1.8578,1.591901,1.78876,1.918118,13
1.471537,1.076491,1.966209,2.020366,13
1.451403,1.105107,1.939777,2.038403,13
1.854725,1.589224,1.807263,1.934175,13
1.846027,1.567098,1.802152,1.915582,13
1.507459,1.026858,1.968223,1.975295,13
1.592061,1.230764,2.048103,2.100425,13
1.853997,1.589503,1.799454,1.921285,13
1.843705,1.586637,1.795909,1.926105,13
1.874348,1.399669,1.825617,2.047336,13
1.540767,1.161817,2.030504,2.085608,13
1.843748,1.570686,1.645062,1.997394,13
1.905097,1.633497,1.661355,2.031681,13
1.901687,1.557244,1.66957,1.920696,13
1.87022,1.575876,1.679624,1.986946,13
1.914303,1.630293,1.676733,2.026217,13
1.855846,1.467334,1.63814,1.855648,13
1.870787,1.571389,1.623421,1.952312,13
1.879178,1.547527,1.643783,1.937548,13
1.886648,1.571734,1.646742,1.935195,13
1.886278,1.54905,1.629417,1.903149,13
1.884002,1.55746,1.655215,1.912615,13
1.865116,1.569281,1.637938,1.937325,13
1.884073,1.56,1.62333,1.935712,13
1.880602,1.552881,1.611752,1.928169,13
1.889923,1.536829,2.082239,1.816329,13
1.957026,1.544775,2.156833,1.63781,13
2.14036,1.723031,2.106896,1.442045,13
1.876022,1.543325,1.61444,1.926823,13
1.888183,1.562765,1.629673,1.93321,13
1.898088,1.585171,1.623391,1.94322,13
1.891103,1.578272,1.630712,1.963414,13
1.864511,1.525736,1.650768,1.891752,13
1.874697,1.552449,1.642864,1.920561,13
2.006967,1.566866,1.824179,1.593608,13
1.869381,1.521826,1.657989,1.911935,13
1.869547,1.58036,1.606695,1.958946,13
1.870891,1.478462,1.62843,1.820134,13
1.867073,1.47047,1.620573,1.79223,13
1.897145,1.58706,1.661095,1.975339,13
1.924982,1.512397,1.746925,1.695189,13
1.810452,1.498578,1.668828,1.884436,13
1.836552,1.472069,1.665539,1.815691,13
1.841571,1.467181,1.634584,1.855957,13
1.900564,1.570463,1.65841,1.951779,13
1.906712,1.516235,1.681567,1.851732,13
1.879818,1.503024,1.662792,1.887585,13
1.86236,1.523317,1.58705,1.962967,13
1.936933,1.596499,1.6392,1.988558,13
1.830647,1.436461,1.640016,1.783233,13
2.05523,1.633623,2.038063,1.508276,13
1.850528,1.488681,1.643256,1.882016,13
1.879104,1.577097,1.578575,1.918011,13
2.035264,1.637887,2.138037,1.598778,13
2.101723,1.662195,2.126354,1.527341,13
1.830081,1.510706,1.662613,1.903846,13
1.809045,1.45212,1.640169,1.833648,13
1.966558,1.580942,1.750089,1.679315,13
1.855188,1.540728,1.646297,1.899765,13
1.867897,1.548754,1.654897,1.898081,13
1.85235,1.485203,1.678725,1.796493,13
1.823054,1.446427,1.653724,1.801807,13
2.076159,1.663631,1.975357,1.5507,13
1.842449,1.511451,1.658222,1.882285,13
1.869206,1.543401,1.648869,1.884614,13
2.110225,1.709765,2.009876,1.508683,13
1.855875,1.473163,1.624739,1.849124,13
2.119631,1.687184,1.766366,1.696082,13
1.890294,1.638538,1.570279,2.045154,13
1.880893,1.666641,1.582648,2.079314,13
1.857332,1.53373,1.637907,1.903563,13
1.88804,1.522787,1.633751,1.858194,13
1.90076,1.637491,1.643275,1.951302,13
1.88981,1.636133,1.61446,2.05781,13
2.054466,1.686638,1.838252,1.730606,13
1.990417,1.658561,1.771805,1.749553,13
2.078587,1.807188,2.135107,1.708096,13
1.849335,1.533231,1.597197,1.951054,13
1.994605,1.555523,1.729993,1.774517,13
1.922592,1.631983,1.638104,2.076044,13
1.864298,1.580847,1.592934,2.026112,13
1.889671,1.536768,1.609256,1.927611,13
1.890326,1.562228,1.603381,1.99725,13
1.842853,1.530177,1.604437,1.902365,13
1.87998,1.542653,1.664239,1.904247,13
1.887748,1.516125,1.701455,1.714482,13
1.827905,1.443945,1.685064,1.852729,13
1.847942,1.535617,1.609627,1.892769,13
1.928406,1.55604,1.739365,1.710364,13
1.843455,1.498553,1.641158,1.871449,13
1.869406,1.49031,1.628455,1.803176,13
1.870315,1.525421,1.645292,1.884015,13
2.001727,1.555964,1.824068,1.574775,13
1.866292,1.503491,2.079306,1.755439,13
1.874365,1.627191,1.582221,2.053371,13
1.924903,1.581074,1.541085,1.94895,13
1.878756,1.548206,1.560987,1.941124,13
1.899173,1.616716,1.621846,2.027501,13
1.869711,1.531829,1.561566,1.927947,13
1.886003,1.48465,1.597076,1.876828,13
1.89246,1.562308,1.586422,1.93135,13
1.910938,1.58209,1.59863,1.994533,13
1.914442,1.628774,1.59013,2.021989,13
1.932947,1.566175,1.577478,1.973763,13
1.990619,1.660134,1.813222,1.727445,13
2.114885,1.675724,2.082609,1.664707,13
1.926277,1.59618,1.591696,1.971168,13
1.889214,1.534258,1.603061,1.959891,13
1.907089,1.599281,1.604006,2.034367,13
1.895898,1.598377,1.614386,2.006029,13
1.872689,1.52049,1.645695,1.992416,13
1.944684,1.588056,1.689617,1.881872,13
1.581458,1.217991,1.503312,1.627957,13
1.578636,1.223126,1.474302,1.616263,13
1.084407,0.390642,1.647764,1.730848,13
1.581108,1.206459,1.508016,1.621621,13
1.567319,1.20235,1.484996,1.614653,13
1.185937,0.283976,1.644161,1.666482,13
1.089276,0.360892,1.644976,1.737415,13
1.570658,1.203944,1.491615,1.616393,13
1.579761,1.209231,1.505202,1.619956,13
1.283478,0.346486,1.61802,1.628691,13
1.158984,0.365101,1.717537,1.692642,13
1.58561,1.217599,1.457724,1.605593,13
1.587971,1.216576,1.467295,1.610962,13
1.12281,0.352754,1.665812,1.710582,13
1.060301,0.456778,1.722034,1.773474,13
1.602022,1.226779,1.523281,1.637816,13
1.582608,1.197205,1.492533,1.60737,13
1.276733,0.286717,1.637462,1.631136,13
1.081812,0.381767,1.655339,1.748573,13
1.574202,1.237213,1.490225,1.64427,13
1.551822,1.191712,1.50381,1.631034,13
1.062087,0.419087,1.669202,1.773191,13
1.076611,0.336422,1.683392,1.765679,13
1.571072,1.206398,1.510212,1.637568,13
1.561611,1.227046,1.475663,1.662003,13
1.15851,0.288774,1.628994,1.714447,13
1.062848,0.396122,1.661944,1.784753,13
1.563443,1.220806,1.490943,1.655388,13
1.556815,1.211605,1.477653,1.64997,13
1.107692,0.348599,1.620909,1.736984,13
1.077555,0.336749,1.661362,1.76168,13
1.758049,1.463735,1.69111,1.838429,13
1.70853,1.396957,1.650566,1.794244,13
1.113471,0.276677,1.630992,1.736117,13
1.102075,0.346256,1.684356,1.770666,13
1.682516,1.356577,1.608957,1.748874,13
1.574239,1.236966,1.522847,1.677825,13
1.115679,0.277239,1.685195,1.757697,13
1.101559,0.365553,1.655642,1.7462,13
1.574128,1.231349,1.500988,1.660475,13
1.56332,1.17386,1.549325,1.628895,13
1.045012,0.545472,1.665461,1.824357,13
1.514321,1.129701,1.908239,1.645791,13
1.569905,1.228987,1.493165,1.641531,13
1.553208,1.208377,1.497956,1.627653,13
1.208851,0.267277,1.707038,1.692694,13
1.433248,0.89532,1.448807,1.659163,13
1.565761,1.24239,1.495161,1.661814,13
1.639737,1.300725,1.614683,1.708411,13
1.107108,0.268022,1.675562,1.721966,13
1.0859,0.365318,1.713711,1.7596,13
1.650663,1.354694,1.609459,1.749289,13
1.607779,1.302612,1.581719,1.718864,13
1.058955,0.421644,1.686516,1.77345,13
1.121828,0.358215,1.702866,1.734752,13
1.545164,1.211768,1.465447,1.631627,13
1.53958,1.204203,1.480318,1.641646,13
1.074435,0.436153,1.688644,1.760117,13
1.112907,0.408801,1.69766,1.748499,13
1.538847,1.187465,1.482623,1.612699,13
1.534912,1.177475,1.50963,1.619401,13
1.112539,0.415299,1.715234,1.745526,13
1.119907,0.406378,1.704778,1.743705,13
1.539101,1.176735,1.489949,1.599469,13
1.538695,1.198302,1.508441,1.623845,13
1.252808,0.240819,1.71519,1.669505,13
1.135968,0.366618,1.702847,1.729445,13
1.562929,1.183034,1.50384,1.642847,13
1.529578,1.172245,1.520353,1.644836,13
1.158265,0.491814,1.676657,1.793494,13
1.170883,0.54932,1.740437,1.837214,13
1.879416,1.858216,1.745763,1.952546,15
1.792599,1.822914,1.652418,1.948299,15
1.877541,1.89707,1.770591,1.911385,15
1.795124,1.843762,1.665991,1.962541,15
1.782564,1.786008,1.641327,1.858715,15
1.787791,1.798459,1.635765,1.89134,15
1.813694,1.828735,1.648833,1.923573,15
1.804799,1.829063,1.644482,1.934156,15
2.174378,2.023282,2.255448,1.587746,15
1.768855,1.830872,2.126999,1.952154,15
1.797821,1.84809,1.671086,1.98123,15
1.811054,1.809163,1.652693,1.917347,15
1.791818,1.801893,1.670946,1.940081,15
1.779651,1.812359,1.65784,1.945707,15
1.807653,1.819557,1.646007,1.913337,15
1.799762,1.816075,1.665522,1.905738,15
1.802564,1.846634,1.656186,1.961379,15
1.802804,1.843548,1.636847,1.951117,15
1.792843,1.83093,1.646922,1.94054,15
1.805754,1.82455,1.660686,1.915853,15
1.784487,1.833587,1.639782,1.953369,15
1.793558,1.82513,1.641971,1.920982,15
2.180318,2.085149,2.284257,1.575339,15
1.802275,1.809629,1.629525,1.893235,15
1.804409,1.837326,1.640015,1.937124,15
1.785362,1.809327,1.641543,1.905891,15
1.783606,1.805968,1.640937,1.907095,15
1.791586,1.792165,1.630575,1.856666,15
1.785642,1.805597,1.642105,1.892766,15
2.105367,1.998802,2.003055,1.493061,15
1.803441,1.846266,1.624789,1.959991,15
1.796115,1.834242,1.63317,1.945607,15
1.80095,1.837272,1.644805,1.955837,15
1.787547,1.820393,1.641155,1.944381,15
1.78595,1.820386,1.645192,1.94397,15
1.797396,1.826206,1.632583,1.9151,15
1.793302,1.756838,1.643749,1.785766,15
1.787271,1.814287,1.64114,1.934409,15
1.779616,1.804403,1.635561,1.915241,15
1.788756,1.822876,1.631522,1.935051,15
1.78017,1.795045,1.644056,1.903493,15
1.792629,1.826236,1.639904,1.945804,15
1.786211,1.820588,1.634156,1.94292,15
1.78873,1.793878,1.629742,1.890221,15
1.788776,1.832985,1.638876,1.959975,15
1.776465,1.824217,1.642414,1.956193,15
1.791993,1.814913,1.623862,1.928741,15
1.799649,1.839331,1.657786,1.975434,15
1.788683,1.802264,1.640415,1.926629,15
1.790946,1.808419,1.634292,1.930612,15
1.798233,1.827438,1.644601,1.956005,15
2.693399,2.646407,2.691211,2.525112,15
2.632577,2.629937,2.635598,2.513693,15
1.797145,1.821989,2.103222,1.880834,15
2.229452,2.142905,2.275952,1.520555,15
2.093422,2.061463,2.203308,1.608452,15
1.790897,1.825426,1.650314,1.950233,15
1.800422,1.795964,1.651378,1.88643,15
1.79339,1.803545,1.642046,1.900719,15
1.787987,1.800113,1.632603,1.896225,15
1.781907,1.808459,1.649982,1.925814,15
1.787181,1.793127,1.654455,1.894918,15
2.633797,2.63194,2.637588,2.509485,15
1.78464,1.782134,1.636469,1.871866,15
1.943677,1.81469,2.220244,1.685003,15
1.792201,1.804085,1.636294,1.923184,15
1.783492,1.77956,1.634395,1.874025,15
1.787512,1.795409,1.639574,1.904762,15
1.808158,1.797165,1.629085,1.859705,15
1.798337,1.78669,1.629689,1.881449,15
1.803409,1.800565,1.627102,1.881134,15
1.801848,1.803742,1.624967,1.874364,15
2.131351,2.044061,2.250494,1.599487,15
1.789241,1.816067,1.634758,1.923691,15
1.79677,1.798298,1.630345,1.89341,15
1.78469,1.799008,1.624059,1.888847,15
1.777528,1.784344,1.634691,1.899338,15
1.776305,1.778452,1.631053,1.875405,15
2.164236,2.068339,2.264322,1.556669,15
2.636288,2.634688,2.641153,2.514403,15
1.800892,1.828638,1.620048,1.940047,15
1.784754,1.809116,1.639276,1.927521,15
1.803831,1.804502,1.612905,1.898606,15
1.774333,1.824881,1.6459,1.960333,15
1.782367,1.83516,1.654099,1.968787,15
2.628261,2.637905,2.633426,2.519615,15
1.776435,1.816842,1.632657,1.934945,15
1.787903,1.811446,1.620229,1.925238,15
1.776901,1.790453,1.634155,1.914694,15
1.790662,1.782013,1.631356,1.83949,15
1.791636,1.820462,1.631174,1.936171,15
1.786083,1.809913,1.63198,1.927312,15
2.054206,1.976162,1.96916,1.511751,15
1.785339,1.832452,1.626986,1.958606,15
1.773569,1.799912,1.63744,1.925757,15
1.773983,1.815677,1.639214,1.954991,15
1.781721,1.840632,1.631696,1.978172,15
1.775808,1.826882,1.642141,1.968085,15
1.779932,1.816756,1.617405,1.944035,15
1.791076,1.806671,1.648064,1.934672,15
1.90821,1.850165,2.176606,1.77739,15
1.80611,1.865813,2.111168,1.931294,15
1.814706,1.873659,2.105949,1.916873,15
1.822218,1.891375,2.101627,1.940894,15
1.78074,1.80075,1.625335,1.910308,15
1.78443,1.782313,1.636992,1.862243,15
1.792663,1.776669,1.648566,1.835708,15
2.048732,2.016581,2.178996,1.619195,15
1.794915,1.819328,1.65126,1.924513,15
1.790791,1.796856,1.642783,1.869035,15
1.80167,1.781217,1.658771,1.828631,15
1.792132,1.782709,1.64574,1.85655,15
1.789224,1.778279,1.651393,1.861032,15
1.812322,1.777666,1.682951,1.745384,15
1.795452,1.77172,1.653096,1.83194,15
1.794055,1.787796,1.665208,1.833288,15
1.805465,1.761868,1.677578,1.784251,15
1.795309,1.839346,1.651672,1.950945,15
1.795576,1.820167,1.640373,1.898729,15
1.794488,1.80538,1.647219,1.886733,15
1.792659,1.791029,1.650987,1.84917,15
1.808938,1.778432,1.667122,1.801403,15
2.635916,2.657101,2.646154,2.52721,15
1.813849,1.847257,1.641964,1.937722,15
1.816155,1.813409,1.61451,1.886675,15
2.634399,2.623506,2.63357,2.512631,15
1.940894,1.960031,1.602787,1.948649,15
1.64799,1.543998,2.051529,1.994144,15
1.884087,1.905383,1.516115,1.993684,15
1.892541,1.938233,1.544439,1.997545,15
1.89535,1.971121,1.531636,2.069074,15
2.059003,1.995079,2.233638,1.670836,15
1.843354,1.918403,2.110064,1.955073,15
2.642956,2.623367,2.63844,2.523841,15
1.924042,1.894514,1.704274,2.015782,15
1.870618,1.87633,2.154874,1.996124,15
1.857131,1.868706,2.10185,1.913863,15
1.461116,1.536387,1.912306,2.050606,15
1.45574,1.513587,1.929106,2.043188,15
1.840117,1.895448,1.801046,1.928228,15
1.839627,1.901122,1.79264,1.937466,15
1.477546,1.539433,1.908838,2.033799,15
1.481547,1.498647,1.92228,2.011902,15
1.840846,1.893741,1.795867,1.93566,15
1.854614,1.904773,1.806638,1.940836,15
2.657998,2.659141,2.665599,2.515968,15
1.509525,1.539412,1.927219,2.03179,15
1.471821,1.536192,1.948575,2.056598,15
1.731201,1.552542,2.024592,1.932777,15
2.087138,1.918879,2.031201,1.775561,15
1.867927,1.875622,1.820262,1.902093,15
1.853516,1.917246,1.804998,1.951679,15
1.845437,1.840012,2.152624,1.924706,15
1.452365,1.549463,1.913364,2.061807,15
1.840678,1.881905,1.78489,1.930107,15
1.840219,1.879022,1.782873,1.921475,15
2.761921,2.680525,2.745464,2.59531,15
1.560828,1.460472,1.948773,2.032778,15
1.676745,1.5789,1.883485,1.95808,15
1.864995,1.877268,1.809417,1.935019,15
1.860618,1.884497,1.807963,1.939898,15
1.470551,1.465573,1.893342,1.995778,15
2.654115,2.622481,2.647431,2.522382,15
1.513586,1.485899,1.905085,2.032703,15
1.482172,1.459723,1.935516,2.035983,15
2.651635,2.621554,2.644316,2.52178,15
1.852923,1.885617,1.803521,1.933354,15
1.85001,1.901847,1.776724,1.952894,15
1.77038,1.821777,2.131422,1.956954,15
1.907019,1.85196,2.127174,1.898216,15
1.541915,1.465999,1.912349,1.960677,15
1.845884,1.86962,1.782236,1.920003,15
1.851512,1.909634,1.777337,1.960311,15
1.473739,1.461884,1.893107,1.998584,15
1.476817,1.454976,1.905274,1.995034,15
2.661874,2.647621,2.651161,2.569434,15
1.866291,1.884789,1.800234,1.941841,15
1.86248,1.921272,1.789939,1.97236,15
1.452205,1.506915,1.88594,2.038225,15
1.484766,1.445937,1.922062,1.989069,15
1.852256,1.870393,1.81447,1.940269,15
1.840659,1.893822,1.776536,1.974358,15
2.076289,1.922198,2.079177,1.610691,15
1.77335,1.835729,2.131382,1.960587,15
1.463232,1.513618,1.890952,2.027806,15
1.852939,1.881951,1.786934,1.916063,15
1.851377,1.910088,1.7748,1.942925,15
1.764993,1.823142,2.132717,1.949731,15
1.449592,1.519291,1.897916,2.042339,15
1.853868,1.892642,1.795872,1.928414,15
1.855893,1.911973,1.771107,1.943604,15
1.781994,1.830252,2.129361,1.948545,15
1.459654,1.493646,1.903674,2.020397,15
1.849327,1.879818,1.781177,1.915463,15
1.863382,1.890146,1.788644,1.92336,15
1.800058,1.809882,2.118648,1.926697,15
1.470983,1.473403,1.887809,2.007708,15
1.882949,1.884361,1.831619,1.962655,15
1.907759,1.921188,1.860971,2.00389,15
2.264392,2.009316,2.424442,1.626836,15
2.723248,2.653143,2.7126,2.547036,15
2.708991,2.642584,2.697812,2.537184,15
2.722872,2.650947,2.711549,2.543455,15
1.825107,1.790502,2.120953,1.894348,15
1.47594,1.482765,1.895692,2.028904,15
1.852318,1.866828,1.779132,1.926363,15
1.864183,1.886056,1.779411,1.938563,15
1.524135,1.456887,1.882853,1.969491,15
1.492438,1.453185,1.913007,1.998397,15
1.861493,1.872892,1.779382,1.929613,15
1.873245,1.880422,1.79112,1.937479,15
1.547452,1.486396,1.901808,2.018442,15
1.500128,1.504197,1.928381,2.080861,15
1.92066,1.881714,1.86797,1.956653,15
1.927288,1.907339,1.870989,1.994337,15
2.742181,2.665312,2.729145,2.566648,15
1.46328,1.496817,1.885309,2.013311,15
1.449749,1.493953,1.907176,2.02865,15
1.858247,1.918414,1.784372,1.963754,15
1.850842,1.924102,1.785306,1.970843,15
1.46781,1.506851,1.895893,2.024205,15
1.458933,1.489318,1.895614,2.016297,15
1.839416,1.866132,1.789864,1.909389,15
1.845577,1.912456,1.787371,1.954142,15
1.497945,1.507872,1.897503,2.007332,15
1.604125,1.478847,1.894882,1.937426,15
2.665853,2.636912,2.665923,2.502185,15
1.843593,1.896157,1.767028,1.940498,15
1.84155,1.89671,1.768327,1.943676,15
1.474136,1.518169,1.893496,2.024869,15
1.465725,1.483855,1.910875,2.017186,15
1.836965,1.885578,1.774349,1.933391,15
1.847181,1.9081,1.773925,1.953186,15
1.48677,1.515002,1.90409,2.033964,15
1.470803,1.48498,1.90975,2.010181,15
1.841505,1.881934,1.781465,1.946774,15
1.846071,1.897707,1.775903,1.957266,15
1.456295,1.482887,1.906846,2.037654,15
1.471006,1.47812,1.900751,2.024887,15
1.835985,1.870661,1.782119,1.930794,15
1.837804,1.866691,1.775538,1.928694,15
1.468706,1.472714,1.893434,2.019212,15
1.476994,1.45536,1.91977,2.010322,15
2.73836,2.671167,2.719279,2.601784,15
2.736776,2.671657,2.717554,2.604044,15
1.846706,1.887536,1.807817,1.93518,15
1.833493,1.899605,1.796926,1.942928,15
1.465013,1.526597,1.915437,2.047328,15
1.471427,1.511979,1.922362,2.038468,15
1.834943,1.895973,1.789369,1.935082,15
1.827945,1.883086,1.802196,1.927043,15
1.737564,1.705481,2.100061,2.191196,15
1.568281,1.486095,1.958521,1.953565,15
1.838803,1.909495,1.788534,1.952967,15
1.840051,1.924787,1.781507,1.970534,15
1.49116,1.515283,1.910781,2.020142,15
1.453707,1.503764,1.929879,2.03444,15
1.83133,1.880709,1.790445,1.922622,15
1.838543,1.893022,1.81191,1.935979,15
1.515887,1.488656,1.950256,1.983204,15
1.449426,1.509607,1.937989,2.051654,15
1.840297,1.901597,1.775406,1.94714,15
1.838522,1.904999,1.769707,1.947545,15
1.52072,1.526073,1.933345,2.023659,15
1.475302,1.505926,1.920344,2.027466,15
1.843087,1.874144,1.800136,1.919373,15
1.824955,1.891817,1.790135,1.945879,15
1.466734,1.524821,1.917562,2.04368,15
1.486672,1.488423,1.912483,1.999544,15
1.861979,1.914708,1.809032,1.956508,15
1.851111,1.939163,1.782145,1.974618,15
1.505117,1.536012,1.903069,2.030099,15
1.473705,1.489196,1.923283,2.010469,15
1.839104,1.891956,1.792437,1.928408,15
1.843517,1.885966,1.796963,1.922858,15
1.457817,1.533738,1.904727,2.050959,15
1.490856,1.490866,1.914901,2.001202,15
2.377267,2.379792,2.328212,2.43671,15
2.376008,2.380324,2.340434,2.440872,15
1.850395,1.894293,1.800737,1.927871,15
1.511653,1.487131,1.905988,1.993794,15
1.490211,1.509176,1.913681,2.015598,15
2.022183,2.06962,1.967131,2.117869,15
1.843165,1.888435,1.797396,1.927174,15
1.679533,1.552682,1.960491,1.871866,15
1.489725,1.524333,1.909447,2.018881,15
1.845638,1.912334,1.786789,1.942283,15
1.852941,1.922451,1.787614,1.950717,15
1.491487,1.523229,1.907085,2.016037,15
1.484107,1.536244,1.921981,2.034642,15
1.841597,1.889162,1.781127,1.925225,15
1.783465,1.845866,2.147884,1.975237,15
1.473733,1.501363,1.906167,2.014138,15
1.849524,1.884696,1.777654,1.921289,15
1.851325,1.915217,1.779841,1.945477,15
1.631454,1.588371,1.986015,2.068785,15
1.489767,1.505897,1.904184,2.006491,15
1.864418,1.873593,1.807845,1.905732,15
1.862233,1.885075,1.794166,1.921063,15
1.446448,1.522647,1.892482,2.052298,15
1.794958,1.801164,2.136652,1.913696,15
1.849785,1.898998,1.77205,1.940779,15
1.849034,1.88478,1.773518,1.925857,15
1.778078,1.82331,2.126057,1.953561,15
1.470964,1.491661,1.890904,2.007673,15
1.846349,1.894603,1.762883,1.939092,15
1.86958,1.923344,1.792284,1.965685,15
1.783249,1.82927,2.131875,1.945817,15
1.444449,1.510485,1.899994,2.035519,15
1.850195,1.917996,1.758445,1.950696,15
1.853762,1.929669,1.757229,1.962804,15
1.762724,1.832755,2.130535,1.96484,15
1.468931,1.48582,1.887349,2.008512,15
1.841631,1.889179,1.775525,1.932865,15
1.865788,1.954774,1.777593,1.992061,15
1.466368,1.504837,1.889035,2.022406,15
1.455116,1.502958,1.909586,2.029992,15
