@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.857087,1.823144,1.818604,1.831578,1.801014,1.558234,1.787326,1.931218,1.601936,1.671576,1.827151,1.860156,2.152851,1.77148,1.222436,1.893251,1.91306,1.837761,13
1.888761,1.855933,1.84637,1.866114,1.816017,1.599421,1.815167,1.964146,1.599635,1.664278,1.857847,1.895898,2.184794,1.773928,1.256485,1.924327,1.93979,1.866348,13
1.838596,1.810747,1.828869,1.834895,1.782854,1.532416,1.784969,1.912625,1.567745,1.651694,1.832124,1.842123,2.09617,1.76931,1.214613,1.872996,1.913804,1.852422,13
1.840854,1.799517,1.826889,1.834591,1.789126,1.541798,1.765206,1.913948,1.559606,1.64234,1.831357,1.862165,2.137223,1.761379,1.186301,1.87824,1.906282,1.847455,13
1.810644,1.796086,1.875885,1.843141,1.9652,1.501807,1.798926,1.85615,2.056149,2.113769,1.840265,1.831806,1.723141,1.981025,1.218102,1.820732,1.915158,1.871937,13
1.776885,1.779185,1.846086,1.827172,1.762551,1.457378,1.772436,1.846478,1.568771,1.649634,1.826451,1.787497,2.012523,1.792203,1.223504,1.808326,1.903234,1.8625,13
1.844765,1.836611,1.915614,1.893719,1.923608,1.545338,1.83182,1.902084,1.753868,1.819098,1.884867,1.870106,1.820736,1.930181,1.315084,1.866068,1.947795,1.919528,13
1.828621,1.807755,1.845861,1.847624,1.7683,1.529495,1.777544,1.90247,1.553529,1.625468,1.841516,1.851151,2.101056,1.750834,1.205513,1.864707,1.913111,1.862298,13
1.845893,1.813802,1.82529,1.834479,1.793235,1.54812,1.777502,1.919559,1.585927,1.653774,1.82813,1.858483,2.13834,1.760123,1.216372,1.880249,1.906796,1.841331,13
1.774834,1.745042,1.787851,1.779062,1.773628,1.46103,1.718253,1.843635,1.596186,1.66705,1.776019,1.793793,2.041977,1.758449,1.162141,1.806205,1.852181,1.796732,13
1.83338,1.810502,1.812813,1.822744,1.795099,1.537914,1.771647,1.90586,1.625023,1.67367,1.812087,1.847455,2.128313,1.760588,1.225516,1.868742,1.894283,1.820818,13
1.852256,1.887067,1.885338,1.883132,1.764179,1.578261,1.840846,1.930368,1.602718,1.58492,1.865075,1.879845,2.125887,1.77647,1.241035,1.917009,1.95352,1.86537,13
1.822768,1.802125,1.816998,1.827034,1.783279,1.533489,1.757196,1.894803,1.606251,1.644989,1.812131,1.853798,2.129523,1.736752,1.211461,1.857832,1.885426,1.819786,13
1.883113,1.886051,1.862469,1.849464,1.770323,1.585165,1.85988,1.958726,1.602773,1.633166,1.863238,1.858171,2.151461,1.84124,1.220898,1.950375,1.93754,1.869469,13
2.106521,2.109479,2.161535,2.108725,2.146533,1.834604,2.122335,2.150965,2.249113,2.295427,2.123314,2.094228,1.631885,2.221011,1.44837,2.14501,2.204057,2.14714,13
1.900993,1.88586,1.855151,1.855453,1.790113,1.616028,1.838287,1.98088,1.593842,1.621877,1.857001,1.900495,2.229624,1.80269,1.189549,1.970517,1.960452,1.851187,13
1.957183,1.951001,1.889526,1.898862,1.830819,1.677833,1.904147,2.038915,1.638764,1.660554,1.898198,1.937445,2.278582,1.84392,1.283118,2.025538,2.010812,1.888849,13
1.876836,1.906575,1.88075,1.87044,1.831707,1.586819,1.87663,1.951238,1.683241,1.686608,1.863077,1.863033,2.131011,1.872467,1.307669,1.936756,1.973019,1.866389,13
1.918907,1.928573,1.882458,1.883847,1.814061,1.630495,1.891789,1.999569,1.627699,1.651358,1.882202,1.89509,2.215787,1.844076,1.287233,1.982864,1.994819,1.881819,13
1.899824,1.916833,1.882731,1.876953,1.806928,1.612305,1.880033,1.978693,1.639478,1.651671,1.87391,1.884504,2.187014,1.841129,1.275337,1.964938,1.983122,1.873794,13
1.786877,1.76673,1.801875,1.800077,1.765359,1.486151,1.729578,1.857497,1.58884,1.638075,1.789722,1.817596,2.078792,1.73595,1.174935,1.821448,1.862166,1.804151,13
1.7427,1.707536,1.772047,1.75053,1.778438,1.419308,1.687915,1.806945,1.620104,1.696764,1.751639,1.766243,1.969309,1.775305,1.131666,1.773208,1.825749,1.776576,13
1.8273,1.781985,1.794686,1.802878,1.787696,1.529099,1.739179,1.899464,1.601553,1.666259,1.797322,1.848538,2.142343,1.743499,1.174281,1.863446,1.874534,1.805491,13
1.831923,1.795386,1.831253,1.836408,1.776346,1.542316,1.755449,1.901234,1.578502,1.633578,1.831473,1.868631,2.137853,1.747334,1.190299,1.869732,1.880336,1.844071,13
1.895133,1.862401,1.888388,1.908629,1.83949,1.617459,1.825109,1.96519,1.620625,1.684272,1.895979,1.932869,2.181425,1.798175,1.285452,1.931543,1.964159,1.908214,13
1.848113,1.812748,1.847565,1.857244,1.793391,1.560906,1.772412,1.91932,1.570993,1.633601,1.84761,1.885856,2.147147,1.753501,1.203243,1.886177,1.915243,1.860761,13
2.019055,1.981816,2.034457,2.014415,2.041795,1.73598,1.986677,2.070748,1.96714,2.042995,2.022038,2.013805,1.662114,2.066296,1.360975,2.041107,2.053622,2.052943,13
1.853845,1.807398,1.827543,1.830455,2.020761,1.566377,1.777409,1.905731,2.104416,2.146971,1.815296,1.881948,1.913347,1.978711,1.248388,1.86853,1.89827,1.824072,13
1.763859,1.739609,1.783417,1.775951,1.787991,1.454117,1.710149,1.830342,1.619152,1.675054,1.767023,1.791286,2.022515,1.764248,1.172661,1.792652,1.841015,1.785483,13
1.804408,1.781653,1.816995,1.815122,1.746295,1.513911,1.750405,1.866122,1.595368,1.616344,1.817968,1.833447,2.115544,1.756302,1.219585,1.838288,1.812626,1.832518,13
1.743688,1.712005,1.765295,1.748704,1.765383,1.425011,1.693697,1.804729,1.615112,1.673125,1.75331,1.762859,1.989009,1.776685,1.152749,1.772594,1.790642,1.776111,13
1.818685,1.798641,1.818904,1.831913,1.75094,1.528085,1.760669,1.890624,1.559614,1.603993,1.821894,1.849249,2.113625,1.725179,1.199721,1.856538,1.876849,1.833559,13
1.799328,1.780675,1.812064,1.798445,1.928134,1.500128,1.764852,1.85006,2.055761,2.083117,1.794777,1.815549,1.835527,1.943459,1.203474,1.821564,1.846964,1.811581,13
1.799718,1.768215,1.789028,1.790248,1.971122,1.497842,1.752064,1.850157,2.080757,2.125741,1.77681,1.820909,1.837781,1.956767,1.219793,1.817221,1.871118,1.789871,13
1.915208,1.898243,1.910563,1.924449,1.868207,1.640282,1.858594,1.985471,1.683001,1.726226,1.909062,1.940701,2.184269,1.825683,1.34592,1.947451,1.979514,1.919248,13
1.773334,1.758454,1.804132,1.79957,1.805512,1.472161,1.72737,1.838268,1.650038,1.692106,1.783923,1.808998,1.989642,1.773483,1.206729,1.79968,1.852757,1.801577,13
1.813826,1.795867,1.824674,1.83368,1.786349,1.529968,1.748155,1.88372,1.621372,1.651369,1.814579,1.860193,2.115234,1.730983,1.215861,1.846975,1.879541,1.822302,13
1.810218,1.792609,1.830393,1.835693,1.78277,1.520766,1.751657,1.880207,1.604497,1.646825,1.819451,1.851948,2.089804,1.73782,1.214121,1.84192,1.884051,1.832835,13
1.778786,1.757358,1.800134,1.79867,1.778548,1.484146,1.715328,1.846383,1.629662,1.666649,1.783671,1.823953,2.070793,1.734497,1.183655,1.810453,1.84932,1.795418,13
1.823345,1.867756,1.893723,1.87401,1.818601,1.527828,1.849689,1.895931,1.642253,1.655746,1.862291,1.831011,1.946481,1.872452,1.263856,1.879135,1.955537,1.882537,13
1.844907,1.884483,1.873551,1.864209,1.783437,1.55308,1.854267,1.922624,1.614861,1.618712,1.854156,1.84087,2.10465,1.827188,1.269718,1.906053,1.958047,1.8626,13
1.849707,1.884168,1.877023,1.875015,1.754792,1.567715,1.842018,1.931263,1.563865,1.560419,1.860688,1.863073,2.13872,1.778208,1.234893,1.914644,1.95522,1.865286,13
1.788144,1.83112,1.838174,1.827265,1.75753,1.490867,1.807884,1.859647,1.598963,1.592481,1.818437,1.792158,2.033852,1.815972,1.252425,1.841941,1.879687,1.833044,13
1.916652,1.932424,1.887359,1.909481,1.787204,1.656355,1.868672,1.999244,1.605939,1.581207,1.885971,1.938407,2.244455,1.754283,1.283236,1.979486,1.977174,1.872682,13
2.028589,2.076114,2.126365,2.091203,1.976344,1.750097,2.085255,2.095617,1.829533,1.880234,2.095704,2.015013,1.893046,2.079838,1.487664,2.08548,2.18009,2.131342,13
1.991463,2.014822,1.948138,1.971025,1.856664,1.740519,1.95287,2.072434,1.702165,1.666384,1.948355,1.999163,2.319531,1.832731,1.396922,2.055594,2.047345,1.930094,13
1.86548,1.823122,1.809581,1.814604,1.853482,1.579148,1.774365,1.932137,1.766889,1.802895,1.810541,1.88187,2.065633,1.828624,1.057569,1.916539,1.90539,1.806938,13
1.901097,1.828369,1.855491,1.851015,1.91261,1.604375,1.798935,1.954875,1.778649,1.864745,1.856902,1.911327,2.068107,1.884834,1.137769,1.930134,1.938441,1.871274,13
1.845101,1.786139,1.81246,1.803568,1.85598,1.550352,1.744278,1.909096,1.757917,1.813893,1.80476,1.872057,2.033841,1.819978,1.056275,1.881596,1.8816,1.809327,13
1.431013,1.48413,1.587946,1.532607,1.698162,1.021586,1.510064,1.474556,1.950066,1.975591,1.518254,1.452968,1.999529,1.764821,1.52154,1.436211,1.624854,1.562514,13
1.419468,1.453192,1.53281,1.484709,1.69794,1.012664,1.461617,1.466365,1.937899,1.954689,1.467852,1.446252,2.034193,1.741914,1.469701,1.431753,1.581078,1.498819,13
1.858258,1.813531,1.809876,1.823676,1.842045,1.571181,1.769496,1.926817,1.731272,1.780212,1.817107,1.883257,2.034788,1.806659,1.057853,1.90223,1.903228,1.81702,13
1.878341,1.846047,1.840298,1.852406,1.85611,1.605652,1.790845,1.948132,1.761996,1.782909,1.839321,1.915114,2.075324,1.809858,1.090187,1.926238,1.919971,1.832369,13
1.468301,1.436909,1.493321,1.450542,1.693138,1.079586,1.427627,1.500769,1.917075,1.936181,1.451045,1.495036,2.093098,1.716142,1.391262,1.482609,1.516381,1.465155,13
1.473455,1.447486,1.444334,1.457549,1.742047,1.091768,1.429723,1.524127,1.945987,1.976083,1.428825,1.498843,2.120567,1.716852,1.46521,1.484103,1.555764,1.434746,13
1.874316,1.816715,1.801211,1.832944,1.871214,1.58727,1.775874,1.940796,1.747709,1.815876,1.823892,1.896305,2.054042,1.823612,1.097162,1.912311,1.912636,1.82493,13
1.893059,1.841311,1.838777,1.86134,1.852634,1.613809,1.801456,1.95698,1.727038,1.776608,1.858856,1.918074,2.064117,1.819463,1.120195,1.9284,1.900258,1.861339,13
1.454768,1.42757,1.485107,1.451073,1.728302,1.059537,1.418098,1.495831,1.932502,1.961634,1.437565,1.485319,2.09073,1.724601,1.42067,1.461833,1.549653,1.454906,13
1.428706,1.456659,1.492405,1.477902,1.702421,1.040038,1.44305,1.483687,1.939976,1.945038,1.443692,1.459923,2.069189,1.706163,1.484292,1.441887,1.561976,1.463941,13
1.861963,1.804417,1.792794,1.815813,1.852673,1.570787,1.764193,1.928646,1.734435,1.800857,1.810858,1.88172,2.038647,1.814892,1.062016,1.903638,1.901439,1.811535,13
1.854258,1.802629,1.814366,1.810495,1.854686,1.560839,1.760343,1.921758,1.749084,1.800929,1.81047,1.873277,2.041776,1.823954,1.057172,1.894444,1.89379,1.814032,13
1.46965,1.441511,1.456405,1.4424,1.722569,1.084497,1.419259,1.519438,1.92724,1.949675,1.42363,1.495131,2.115457,1.709608,1.411053,1.488209,1.547331,1.428525,13
1.495359,1.461644,1.553329,1.485598,1.709045,1.102765,1.468376,1.528401,1.904348,1.942184,1.500319,1.524361,2.082407,1.75414,1.368458,1.513043,1.580469,1.518697,13
1.886076,1.817475,1.788172,1.832948,1.885271,1.593377,1.785369,1.95217,1.751486,1.843725,1.827024,1.897422,2.056099,1.843974,1.11508,1.92325,1.923986,1.829652,13
1.859958,1.803934,1.817404,1.8141,1.86515,1.562879,1.765868,1.927147,1.753135,1.816975,1.816116,1.873149,2.042354,1.835741,1.073217,1.89645,1.89958,1.823483,13
1.431854,1.437388,1.518096,1.469222,1.767267,1.014601,1.456576,1.46926,1.992062,2.03004,1.457919,1.446254,2.036595,1.80282,1.506315,1.427757,1.574312,1.492742,13
1.566757,1.544029,1.558729,1.546585,1.841892,1.20765,1.53249,1.611664,2.047256,2.074182,1.527383,1.581343,2.188319,1.831844,1.573494,1.573512,1.645956,1.537335,13
1.869163,1.801206,1.788175,1.813189,1.864323,1.572616,1.766303,1.935339,1.733537,1.817669,1.812405,1.881787,2.04491,1.829008,1.069084,1.908123,1.905062,1.815277,13
1.852949,1.79265,1.808214,1.800319,1.858316,1.551547,1.756185,1.919533,1.747422,1.815959,1.806041,1.863493,2.03556,1.834628,1.052575,1.890814,1.891128,1.813432,13
1.470925,1.427752,1.466156,1.435192,1.734674,1.068634,1.421015,1.516409,1.928814,1.972643,1.42957,1.482407,2.104064,1.734573,1.412815,1.479645,1.550798,1.445326,13
1.426639,1.446724,1.535337,1.476551,1.725081,1.003094,1.470586,1.466942,1.961006,1.998801,1.4707,1.4341,2.029652,1.781866,1.491035,1.42934,1.587812,1.509403,13
1.933964,1.886339,1.887339,1.893677,1.913819,1.656114,1.846161,1.999153,1.803523,1.855322,1.891941,1.953425,2.102366,1.886889,1.170797,1.977081,1.975716,1.893081,13
1.84758,1.794467,1.810116,1.800904,1.8451,1.551921,1.752556,1.914278,1.74226,1.794635,1.80365,1.867283,2.035297,1.819871,1.035983,1.890126,1.887173,1.806452,13
1.434909,1.439487,1.517532,1.468338,1.682502,1.030935,1.438761,1.481597,1.897208,1.923183,1.458367,1.464574,2.047395,1.711229,1.403173,1.450205,1.567164,1.483728,13
1.454889,1.453582,1.474836,1.456008,1.716708,1.07353,1.428558,1.509448,1.929896,1.937072,1.431091,1.486847,2.100883,1.713316,1.419349,1.479186,1.55279,1.437452,13
1.854126,1.80575,1.811898,1.808164,1.852033,1.56146,1.761433,1.921525,1.751897,1.799481,1.807522,1.87141,2.045822,1.824157,1.05152,1.897276,1.894004,1.80975,13
1.867646,1.829843,1.824023,1.832651,1.852655,1.583491,1.779169,1.914501,1.750753,1.790491,1.825311,1.886073,2.060661,1.820158,1.070835,1.912075,1.914266,1.824806,13
1.426262,1.434113,1.521961,1.469456,1.714967,1.011927,1.446473,1.466595,1.945121,1.977584,1.458999,1.448687,2.031419,1.748715,1.46243,1.428458,1.569045,1.492093,13
1.457818,1.425917,1.470341,1.443622,1.731754,1.059349,1.417718,1.502883,1.931847,1.968546,1.431277,1.481609,2.095667,1.727577,1.422623,1.46534,1.547819,1.446796,13
1.848899,1.790467,1.814189,1.808435,1.862193,1.553632,1.749557,1.912648,1.760567,1.820291,1.808562,1.872361,2.034559,1.825142,1.06892,1.883476,1.886502,1.815347,13
1.867217,1.821394,1.830658,1.842746,1.866,1.587302,1.773006,1.933565,1.75056,1.792017,1.831472,1.904472,2.052031,1.812718,1.092619,1.90469,1.906831,1.831222,13
1.486231,1.434609,1.485175,1.472594,1.750051,1.095579,1.432472,1.525488,1.927471,1.982571,1.461072,1.517321,2.102577,1.733025,1.433983,1.485689,1.570107,1.478821,13
1.479064,1.444329,1.472709,1.464011,1.72816,1.102405,1.418736,1.529136,1.917945,1.944258,1.442202,1.518402,2.123681,1.697473,1.412711,1.491566,1.552579,1.448355,13
1.864887,1.811357,1.811001,1.831722,1.85598,1.576363,1.773327,1.931657,1.738341,1.799933,1.824968,1.888761,2.036188,1.814562,1.089205,1.902173,1.909682,1.82873,13
1.859846,1.812688,1.823664,1.826749,1.869448,1.574548,1.765417,1.927313,1.776425,1.81805,1.819598,1.888195,2.054704,1.824325,1.093617,1.897434,1.898248,1.821727,13
1.437842,1.42746,1.486431,1.452086,1.740191,1.036221,1.425667,1.480653,1.956061,1.982937,1.4354,1.466412,2.065928,1.748352,1.451721,1.443166,1.550694,1.455995,13
1.557699,1.560096,1.565026,1.570468,1.803104,1.220185,1.532048,1.608953,2.015651,2.014993,1.535414,1.599667,2.184076,1.781749,1.551915,1.57823,1.649275,1.536471,13
1.869752,1.827651,1.815894,1.843808,1.852668,1.590548,1.781516,1.936835,1.737892,1.782992,1.83035,1.902765,2.04311,1.806377,1.087108,1.912933,1.915844,1.827763,13
1.879118,1.848998,1.849858,1.861591,1.852989,1.607763,1.794629,1.947862,1.74676,1.767117,1.847437,1.920058,2.066028,1.80465,1.092307,1.924823,1.924254,1.842153,13
1.460584,1.452093,1.454019,1.456922,1.733862,1.082555,1.427095,1.51576,1.944953,1.95605,1.42426,1.490347,2.107556,1.714512,1.454229,1.478497,1.55062,1.429701,13
1.463126,1.451095,1.464463,1.461426,1.708717,1.085936,1.426694,1.516512,1.914664,1.929225,1.434781,1.500168,2.109981,1.694776,1.416335,1.485568,1.556046,1.438806,13
1.870959,1.828832,1.816654,1.839388,1.855081,1.590876,1.780691,1.937891,1.74519,1.787212,1.827244,1.900131,2.056747,1.810386,1.084118,1.914934,1.913969,1.824679,13
1.876821,1.84004,1.832885,1.845405,1.847181,1.598687,1.789155,1.946883,1.742431,1.774455,1.835779,1.906324,2.065679,1.807083,1.076555,1.924163,1.919645,1.831585,13
1.447042,1.45979,1.475839,1.476687,1.729002,1.073684,1.435369,1.500878,1.9502,1.949566,1.437365,1.488117,2.093459,1.714092,1.473183,1.464689,1.558475,1.446743,13
1.450149,1.441896,1.479785,1.465436,1.719402,1.065886,1.42774,1.497831,1.930572,1.948128,1.441011,1.490946,2.088613,1.713824,1.433792,1.464965,1.556707,1.452086,13
1.866358,1.831053,1.83855,1.848064,1.849797,1.589576,1.779797,1.933671,1.748638,1.777683,1.835532,1.904584,2.052965,1.802113,1.088369,1.908408,1.912114,1.834394,13
1.87783,1.837273,1.833067,1.854587,1.861017,1.603396,1.785863,1.946045,1.753988,1.788747,1.840066,1.915853,2.067325,1.805804,1.103556,1.91932,1.918827,1.836493,13
1.47803,1.442783,1.463674,1.465309,1.739536,1.100828,1.422481,1.525262,1.930255,1.959676,1.440361,1.516331,2.115163,1.709365,1.432538,1.488227,1.555605,1.446932,13
1.451614,1.453151,1.476587,1.475255,1.707944,1.076738,1.429431,1.505304,1.918537,1.927248,1.442457,1.496653,2.097828,1.692532,1.435895,1.470942,1.558564,1.450623,13
1.866139,1.830328,1.832474,1.845891,1.848931,1.588915,1.780036,1.933389,1.742956,1.774152,1.833153,1.903208,2.048104,1.802808,1.082834,1.909288,1.912443,1.831105,13
1.904473,1.87156,1.848844,1.885153,1.877387,1.640041,1.81751,1.973876,1.772334,1.797577,1.86454,1.944849,2.093074,1.817233,1.145008,1.949204,1.94702,1.856143,13
1.42032,1.463273,1.542862,1.505148,1.694555,1.025946,1.464502,1.468014,1.940572,1.947624,1.477801,1.460626,2.025474,1.722573,1.487972,1.429892,1.583678,1.508389,13
1.506644,1.49897,1.449094,1.507085,1.746133,1.158776,1.45999,1.569632,1.943599,1.95382,1.455272,1.545642,2.157347,1.691498,1.501905,1.528179,1.584713,1.449831,13
1.861163,1.821869,1.834744,1.837962,1.86323,1.577451,1.773542,1.924476,1.765186,1.805038,1.828866,1.890174,2.051089,1.819219,1.097059,1.898486,1.906014,1.83224,13
1.865012,1.824574,1.83494,1.839869,1.868672,1.586174,1.773251,1.93272,1.779433,1.809598,1.828878,1.900271,2.062126,1.818663,1.103,1.904105,1.904977,1.828595,13
1.476142,1.468854,1.469006,1.479386,1.73412,1.116611,1.432584,1.531918,1.947637,1.945324,1.440063,1.523514,2.129528,1.696979,1.457671,1.496413,1.558306,1.438439,13
1.522599,1.523369,1.462416,1.531431,1.750194,1.189276,1.483417,1.583206,1.961118,1.956915,1.476554,1.567196,2.154854,1.702233,1.527734,1.547959,1.584299,1.4673,13
1.881688,1.825078,1.810592,1.847029,1.876416,1.600358,1.781723,1.947987,1.751763,1.815304,1.834451,1.911742,2.063402,1.819882,1.11409,1.918633,1.91915,1.833639,13
1.880201,1.843349,1.839973,1.86052,1.868591,1.607928,1.79072,1.948805,1.771618,1.800674,1.844375,1.918957,2.072407,1.811794,1.121286,1.92093,1.922158,1.841145,13
1.525613,1.474291,1.459165,1.495828,1.768038,1.164362,1.463335,1.567801,1.957993,1.992664,1.470549,1.555317,2.154531,1.737843,1.49354,1.534324,1.574807,1.471109,13
1.454772,1.43805,1.472012,1.459427,1.710047,1.07055,1.431532,1.495495,1.944173,1.959078,1.445407,1.487324,2.093087,1.721964,1.456561,1.463687,1.515328,1.457683,13
1.865922,1.81021,1.812194,1.829928,1.865178,1.578965,1.766887,1.931887,1.749878,1.809419,1.822283,1.893148,2.047978,1.81652,1.088823,1.902205,1.903816,1.824969,13
1.870427,1.829489,1.840303,1.850415,1.858609,1.591965,1.780425,1.938389,1.753744,1.790821,1.839113,1.907156,2.053627,1.807257,1.100267,1.908736,1.913451,1.839968,13
1.463411,1.436945,1.464073,1.454602,1.737455,1.078739,1.420207,1.51003,1.945834,1.970101,1.431324,1.49676,2.106958,1.717456,1.446829,1.471715,1.548786,1.440881,13
1.475067,1.461809,1.467336,1.473222,1.72757,1.111182,1.427851,1.527919,1.939372,1.943651,1.438365,1.521255,2.12884,1.692734,1.443058,1.494493,1.555351,1.437071,13
1.866301,1.812562,1.812743,1.829158,1.863963,1.581627,1.770344,1.932115,1.760521,1.808301,1.821493,1.893301,2.05433,1.818968,1.094016,1.904948,1.906148,1.821893,13
1.853518,1.80418,1.823052,1.821202,1.858339,1.56515,1.759012,1.91333,1.7587,1.804115,1.816807,1.880852,2.044224,1.817804,1.07512,1.890406,1.894835,1.820344,13
1.426917,1.436396,1.50741,1.470119,1.716133,1.026525,1.43562,1.46872,1.950173,1.969605,1.448876,1.461114,2.049536,1.728742,1.467565,1.43103,1.558613,1.474174,13
1.593991,1.573955,1.62819,1.595737,1.846139,1.254125,1.557042,1.631757,2.049405,2.063131,1.580019,1.638498,2.198287,1.835491,1.554127,1.60489,1.67664,1.587277,13
1.885684,1.838022,1.818211,1.85921,1.877446,1.609094,1.792594,1.952291,1.760746,1.815441,1.84228,1.917862,2.064316,1.819542,1.129776,1.924184,1.92782,1.840628,13
1.865074,1.821611,1.831392,1.840884,1.861833,1.587114,1.770007,1.932269,1.763594,1.797626,1.829251,1.904521,2.058901,1.807872,1.092599,1.904401,1.903858,1.827686,13
1.706854,1.808061,1.848234,1.846514,1.5499,1.402779,1.785031,1.722223,1.825,1.828037,1.815642,1.715061,2.164723,1.600345,1.61971,1.746729,1.90313,1.852003,13
1.551121,1.529762,1.53153,1.541441,1.815389,1.192675,1.518462,1.597347,2.017851,2.048232,1.515117,1.573259,2.172506,1.797785,1.559945,1.559153,1.636481,1.522962,13
1.858591,1.829681,1.811106,1.831463,1.788173,1.572914,1.779031,1.934072,1.606529,1.645919,1.819373,1.87671,2.188928,1.740425,1.208555,1.901822,1.904276,1.818082,13
1.912299,1.891339,1.869576,1.897473,1.830088,1.636072,1.842374,1.9882,1.622405,1.662298,1.880451,1.926801,2.231564,1.773175,1.309969,1.948192,1.960792,1.882809,13
1.855694,1.847868,1.851602,1.860936,1.803001,1.559991,1.817921,1.929,1.616707,1.670689,1.850366,1.859572,2.108383,1.784601,1.276509,1.889105,1.933807,1.865873,13
1.86889,1.848834,1.829105,1.846332,1.802497,1.580092,1.809506,1.940802,1.639858,1.680111,1.839414,1.872739,2.171454,1.780056,1.25942,1.907672,1.909841,1.84436,13
1.915765,1.886728,1.866194,1.88861,1.835977,1.632433,1.842736,1.99171,1.622786,1.677505,1.877769,1.919665,2.224153,1.788719,1.300772,1.951363,1.961245,1.882965,13
1.779971,1.761315,1.808561,1.799029,1.769621,1.467822,1.736973,1.850243,1.568858,1.639035,1.794887,1.799093,2.053145,1.764368,1.177033,1.813125,1.870862,1.818584,13
1.861854,1.819986,1.828239,1.846235,1.783151,1.57391,1.776765,1.934984,1.561013,1.623974,1.84112,1.885633,2.168396,1.746178,1.198215,1.901239,1.897147,1.849559,13
1.848656,1.801764,1.820495,1.831818,1.794017,1.550113,1.765499,1.922254,1.561873,1.646688,1.829167,1.86722,2.149537,1.761694,1.183684,1.886529,1.906273,1.842841,13
1.860115,1.819325,1.85225,1.858921,1.804646,1.57283,1.775779,1.932878,1.582348,1.648543,1.851487,1.894853,2.156909,1.759861,1.203162,1.897405,1.917147,1.863678,13
1.839135,1.81249,1.853932,1.85883,1.793991,1.550221,1.773487,1.911484,1.570332,1.631192,1.848272,1.877247,2.122467,1.758897,1.20642,1.875789,1.913388,1.864268,13
1.849054,1.807941,1.849468,1.852203,1.804909,1.558922,1.767597,1.92037,1.588501,1.657548,1.845854,1.885508,2.134673,1.7651,1.196667,1.885521,1.910302,1.860265,13
1.851265,1.816739,1.845639,1.857515,1.799408,1.570357,1.76739,1.92343,1.591208,1.639501,1.843457,1.896097,2.157984,1.742477,1.208332,1.888594,1.907051,1.851145,13
