@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
2.403825,1.890171,1.708203,1.60378,1.824431,1.813946,1.935697,1.865989,1.62046,1.549999,1.901064,1.94244,11
2.609889,1.572626,1.345928,1.860653,1.505247,1.486961,1.59893,1.547178,1.231084,1.12535,1.997092,1.659744,11
2.597191,1.529614,1.308084,1.830144,1.493841,1.458147,1.604335,1.532603,1.1759,1.120997,2.015846,1.628468,11
2.48504,1.956765,1.760463,1.718545,1.866018,1.832344,1.960079,1.920087,1.692454,1.614288,1.968591,2.028646,11
2.410055,1.867273,1.681261,1.591053,1.831448,1.816691,1.936917,1.871033,1.589624,1.54867,1.876103,1.939256,11
2.622533,1.56493,1.313889,1.88134,1.45577,1.478454,1.555226,1.502086,1.220421,1.070744,1.983508,1.637211,11
2.630882,1.518457,1.259329,1.886202,1.455441,1.451298,1.543854,1.522436,1.16596,1.072302,1.964714,1.638865,11
2.351162,1.867905,1.65438,1.647261,1.805357,1.789194,1.89492,1.876971,1.604669,1.512067,1.863647,1.95078,11
2.39542,1.863646,1.670667,1.64551,1.79904,1.787377,1.910382,1.868524,1.608522,1.531461,1.905407,1.930388,11
2.61896,1.567377,1.306484,1.881551,1.473902,1.484849,1.548949,1.517164,1.222631,1.070885,1.950202,1.649576,11
2.571613,1.512798,1.23596,1.886501,1.445228,1.448971,1.538633,1.506945,1.156901,1.042525,1.982164,1.624844,11
2.396294,1.874894,1.678824,1.645626,1.790388,1.783678,1.893122,1.868137,1.618367,1.525175,1.880245,1.943694,11
2.420197,1.901482,1.708027,1.620958,1.826413,1.830886,1.933523,1.87947,1.636484,1.556082,1.874691,1.960208,11
2.62719,1.539406,1.275843,1.886996,1.451511,1.473651,1.543716,1.488098,1.184401,1.046834,1.979349,1.619121,11
2.630201,1.504891,1.237618,1.882815,1.450423,1.452065,1.535176,1.486423,1.14256,1.039118,1.981466,1.602228,11
2.407182,1.875231,1.679789,1.645618,1.789244,1.786664,1.895811,1.864009,1.618131,1.524049,1.882781,1.940196,11
2.402576,1.879421,1.683905,1.633138,1.80315,1.801404,1.913522,1.867367,1.618957,1.535493,1.88469,1.942737,11
2.806443,1.861549,1.638613,2.132985,1.781596,1.804041,1.551412,1.810083,1.575874,1.452375,2.173621,1.927816,11
2.621854,1.49989,1.232293,1.879491,1.455276,1.458467,1.553037,1.491676,1.138868,1.048767,1.986768,1.599802,11
2.399274,1.868869,1.675573,1.636357,1.785897,1.778895,1.886825,1.849982,1.606696,1.510751,1.884488,1.92892,11
2.413399,1.885274,1.693713,1.615314,1.813809,1.811561,1.918334,1.865163,1.618267,1.539322,1.886351,1.942517,11
2.63855,1.569762,1.306049,1.888353,1.470954,1.506884,1.551895,1.507477,1.219924,1.0654,1.951973,1.643095,11
2.655508,1.528722,1.246139,1.916414,1.450421,1.485246,1.530038,1.508646,1.172538,1.047929,1.947478,1.637356,11
2.382683,1.858742,1.647253,1.638407,1.806885,1.804572,1.915353,1.863887,1.588347,1.516682,1.892303,1.934224,11
2.427482,1.901005,1.703675,1.650957,1.811826,1.827797,1.923019,1.879657,1.641889,1.547869,1.880431,1.961183,11
2.600081,1.531822,1.274098,1.873853,1.450401,1.465457,1.563329,1.513926,1.18805,1.068269,1.976681,1.628059,11
2.620702,1.50955,1.251949,1.873514,1.452393,1.45833,1.553071,1.494413,1.150578,1.05177,1.989899,1.605607,11
2.406613,1.871286,1.671116,1.633724,1.795243,1.792498,1.893981,1.866979,1.609453,1.521357,1.865713,1.941741,11
2.40467,1.887564,1.699301,1.620362,1.815758,1.815698,1.930085,1.871268,1.624155,1.545921,1.88812,1.944834,11
2.64859,1.505613,1.252933,1.888884,1.501267,1.491379,1.609804,1.561989,1.137606,1.128082,1.993866,1.656313,11
2.630679,1.514346,1.258828,1.863156,1.463805,1.461832,1.549536,1.493694,1.144213,1.056809,1.978577,1.612632,11
2.373495,1.848167,1.646606,1.637777,1.782653,1.771341,1.889586,1.855238,1.584808,1.504404,1.886174,1.925043,11
2.398401,1.870468,1.681485,1.619633,1.805521,1.792935,1.915749,1.858547,1.605526,1.532032,1.901407,1.929887,11
2.626514,1.510586,1.262326,1.871992,1.486595,1.478692,1.605289,1.556308,1.154384,1.121742,1.985379,1.649952,11
2.632857,1.554817,1.302167,1.860281,1.479732,1.485424,1.544319,1.492171,1.191844,1.059593,1.963456,1.624121,11
2.41361,1.889874,1.696927,1.623742,1.806158,1.807594,1.906428,1.863515,1.624415,1.530771,1.874808,1.946418,11
2.423748,1.897497,1.705182,1.621753,1.822733,1.828232,1.929157,1.871199,1.629196,1.5479,1.886432,1.952509,11
2.659283,1.497877,1.224128,1.90039,1.46817,1.474619,1.55844,1.527318,1.128609,1.077615,1.962014,1.637583,11
2.634686,1.755378,1.52934,1.761827,1.760892,1.753924,1.812214,1.783154,1.440844,1.431409,1.77929,1.854764,11
2.405331,1.880386,1.679582,1.629295,1.805475,1.799087,1.900616,1.865801,1.616172,1.527303,1.869857,1.946066,11
2.394332,1.857594,1.66667,1.641728,1.790058,1.779715,1.902781,1.856651,1.599268,1.519987,1.905883,1.92143,11
2.624259,1.567156,1.320686,1.905806,1.47183,1.467677,1.593753,1.549908,1.234908,1.120679,2.020641,1.672263,11
2.756988,1.719031,1.493071,2.058569,1.667842,1.672801,1.495908,1.711641,1.414646,1.336984,2.147503,1.812848,11
2.408844,1.871737,1.664711,1.670589,1.790248,1.79547,1.900953,1.868857,1.617239,1.5238,1.889603,1.94305,11
2.41074,1.879978,1.681461,1.647983,1.801061,1.806646,1.912761,1.872775,1.624523,1.535327,1.880508,1.94462,11
2.66828,1.554968,1.267434,1.933241,1.468336,1.519165,1.532332,1.509048,1.198095,1.050567,1.943172,1.646381,11
2.672571,1.525316,1.235777,1.942919,1.446516,1.48378,1.519513,1.491247,1.168731,1.030716,1.973323,1.623803,11
2.377569,1.877833,1.660097,1.672063,1.794979,1.796282,1.893977,1.874223,1.618115,1.513487,1.87375,1.956931,11
2.418543,1.888555,1.688212,1.653081,1.813566,1.827413,1.927507,1.885801,1.632011,1.548516,1.87013,1.957368,11
2.639067,1.521241,1.243215,1.912012,1.437015,1.45982,1.522677,1.489227,1.169811,1.033039,1.97463,1.616453,11
2.61901,1.492858,1.229771,1.890293,1.444111,1.442419,1.550571,1.503017,1.138834,1.054076,1.999407,1.606772,11
2.452819,1.890831,1.681918,1.680329,1.797074,1.808642,1.878551,1.869132,1.631911,1.519432,1.87061,1.956391,11
2.417661,1.882116,1.683671,1.641426,1.805493,1.813807,1.914525,1.868857,1.621598,1.53382,1.881178,1.943445,11
2.678518,1.494612,1.205559,1.925565,1.483094,1.507526,1.569509,1.543114,1.123437,1.084915,1.952315,1.645074,11
2.631514,1.499258,1.232671,1.902261,1.444756,1.449468,1.542225,1.491845,1.145181,1.042844,2.005529,1.600404,11
2.393017,1.87953,1.673332,1.659105,1.793002,1.80181,1.897356,1.872117,1.622525,1.519207,1.868283,1.949549,11
2.429565,1.894387,1.692597,1.643552,1.818903,1.828143,1.922821,1.879579,1.632876,1.547923,1.876039,1.957958,11
2.636854,1.562278,1.276892,1.927343,1.47329,1.513947,1.54583,1.513873,1.211663,1.056479,1.950071,1.650438,11
2.62211,1.525883,1.258651,1.882215,1.4499,1.472788,1.54884,1.49963,1.176581,1.051123,1.964765,1.616581,11
2.438391,1.887578,1.680659,1.679199,1.790143,1.799714,1.877078,1.86738,1.632972,1.517827,1.873665,1.951492,11
2.462214,1.877222,1.66631,1.655981,1.831765,1.835198,1.912299,1.891194,1.607454,1.547029,1.861102,1.96338,11
2.648161,1.554561,1.259728,1.922266,1.469741,1.521927,1.542209,1.503255,1.195768,1.043739,1.946363,1.640378,11
2.710638,1.503169,1.201613,1.973669,1.471849,1.50714,1.541016,1.515493,1.132426,1.055115,1.984348,1.63498,11
2.429018,1.886047,1.678771,1.659204,1.80124,1.802143,1.890342,1.86876,1.625451,1.525451,1.871874,1.953648,11
2.460971,1.904764,1.698673,1.660829,1.832076,1.835791,1.911288,1.885217,1.640801,1.55036,1.880055,1.968249,11
2.49479,1.91329,1.727648,1.592679,1.817393,1.800432,1.868796,1.870753,1.641206,1.537645,1.715773,1.975406,11
2.614633,1.568201,1.312193,1.884333,1.477185,1.495727,1.581253,1.51663,1.221266,1.086447,1.986009,1.647979,11
2.682085,1.586047,1.31807,1.922394,1.50517,1.535724,1.549455,1.504934,1.216405,1.07506,1.964497,1.658069,11
2.618239,2.166446,1.977654,1.954215,2.010211,2.007156,2.036932,2.103692,1.933807,1.794125,1.992591,2.241746,11
2.43732,1.887286,1.684834,1.657988,1.811735,1.807528,1.892452,1.87483,1.628444,1.532258,1.885321,1.950796,11
2.658456,1.544187,1.263012,1.922418,1.455716,1.498472,1.546203,1.497201,1.188072,1.052408,1.973936,1.634067,11
2.640756,1.575341,1.319205,1.886852,1.495714,1.518738,1.572318,1.53034,1.223194,1.095713,1.945747,1.66146,11
2.47814,1.91785,1.708962,1.699245,1.832725,1.844088,1.915971,1.896594,1.659555,1.562499,1.917915,1.981515,11
2.452271,1.902732,1.697557,1.667933,1.821374,1.824555,1.896493,1.885668,1.646367,1.541695,1.875245,1.964577,11
2.50818,2.061742,1.88513,1.741295,1.99392,1.963134,1.999288,2.030201,1.812506,1.712892,1.889976,2.120929,11
2.746851,1.657965,1.380161,2.010985,1.560937,1.60175,1.551055,1.557306,1.310484,1.121805,1.972357,1.718259,11
2.673133,1.571894,1.281211,1.944252,1.481409,1.528453,1.530196,1.49466,1.218449,1.045504,1.959819,1.637623,11
2.514784,2.067731,1.88049,1.771145,1.95638,1.944796,1.984903,2.017449,1.814519,1.70045,1.92058,2.134833,11
2.455016,1.969376,1.782181,1.650563,1.944601,1.940669,2.009737,1.939057,1.685857,1.64103,1.922162,2.02203,11
2.686718,1.577199,1.28407,1.92442,1.481591,1.539272,1.535113,1.480408,1.211348,1.053468,1.947572,1.617896,11
2.570541,1.507716,1.212539,1.890965,1.468787,1.484124,1.570744,1.517231,1.141173,1.037997,1.971399,1.627896,11
2.691531,1.5458,1.25642,1.948928,1.480697,1.511852,1.527485,1.511859,1.178669,1.051576,1.954379,1.652304,11
2.623876,1.520192,1.231565,1.908468,1.460929,1.489868,1.537266,1.484472,1.151105,1.02095,1.974491,1.611524,11
2.512007,2.04422,1.863406,1.715071,1.961284,1.949278,1.980957,1.998537,1.78768,1.681382,1.879359,2.0983,11
2.479152,2.014483,1.827381,1.694319,1.946301,1.938609,1.977453,1.984412,1.753641,1.66513,1.868114,2.077323,11
2.658134,2.255607,2.087826,1.918752,2.173886,2.158249,1.984968,2.190558,2.026554,1.933225,2.054866,2.262917,11
2.702179,1.621879,1.357217,1.929078,1.543339,1.576633,1.564233,1.513634,1.246939,1.095335,1.978448,1.672791,11
2.672548,1.57384,1.312668,1.910111,1.497115,1.507024,1.54446,1.47893,1.206293,1.060791,2.001962,1.627526,11
2.632733,1.550053,1.320972,1.872024,1.553455,1.525996,1.674819,1.622596,1.209829,1.212326,2.008445,1.695042,11
2.541139,1.512482,1.224937,1.877098,1.46574,1.469143,1.557315,1.509172,1.151678,1.024556,1.967488,1.618995,11
2.406863,1.866018,1.665889,1.659376,1.788531,1.783618,1.891028,1.867588,1.613611,1.521167,1.886453,1.935782,11
2.417948,1.867332,1.66662,1.656678,1.800084,1.791272,1.899282,1.865871,1.609203,1.527562,1.906934,1.934452,11
2.667484,1.47442,1.210414,1.923248,1.507444,1.483939,1.613769,1.605511,1.120557,1.153366,1.985631,1.671293,11
2.635715,1.518975,1.244767,1.898651,1.46299,1.479118,1.546885,1.481398,1.156347,1.041749,1.995911,1.600368,11
2.511436,2.057942,1.847879,1.901844,1.978212,1.921342,2.056349,2.044601,1.816686,1.745713,2.088134,2.158182,11
2.417974,1.872015,1.671977,1.644242,1.797474,1.793039,1.891123,1.860656,1.612398,1.519113,1.879742,1.934635,11
2.627857,1.527223,1.316385,1.856815,1.566862,1.507317,1.685614,1.616126,1.167555,1.215985,2.046272,1.681362,11
2.614372,1.521778,1.281368,1.842921,1.488473,1.46221,1.569913,1.50306,1.153893,1.081681,2.000201,1.610076,11
2.409261,1.887161,1.702417,1.62958,1.823154,1.795973,1.912762,1.879746,1.627499,1.550829,1.911028,1.948071,11
2.390766,1.870621,1.690669,1.61333,1.818568,1.788923,1.925792,1.865985,1.60599,1.544605,1.9226,1.929663,11
2.59672,1.549178,1.346934,1.848491,1.534955,1.479918,1.660447,1.584426,1.204559,1.185929,2.069483,1.66404,11
2.55598,1.53021,1.26923,1.831854,1.529457,1.490126,1.599886,1.52571,1.142654,1.085781,2.0011,1.63255,11
2.386469,1.867233,1.681746,1.621559,1.802028,1.775558,1.897944,1.860303,1.60411,1.525279,1.901066,1.930075,11
2.407937,1.895093,1.720905,1.58643,1.845175,1.812503,1.94153,1.870564,1.619314,1.564514,1.924363,1.945215,11
2.626903,1.559045,1.363859,1.825834,1.592931,1.529267,1.711294,1.619008,1.198965,1.242782,2.051435,1.68916,11
2.618112,2.034186,1.869378,1.604696,2.078411,2.015746,2.117705,2.112644,1.772159,1.808584,1.633081,2.145299,11
2.372238,1.867635,1.684832,1.602346,1.821258,1.788848,1.929171,1.861793,1.595581,1.538708,1.921221,1.92966,11
2.393171,1.892125,1.725038,1.592588,1.842371,1.808248,1.950343,1.873373,1.621029,1.567117,1.937359,1.940904,11
2.574485,1.555284,1.332787,1.833938,1.492479,1.460685,1.604044,1.536478,1.215838,1.121903,2.011591,1.639679,11
2.583469,1.542456,1.326263,1.858062,1.501454,1.456237,1.620893,1.55372,1.212797,1.145796,2.061015,1.63421,11
2.392746,1.873934,1.68622,1.611008,1.805678,1.787963,1.904588,1.856574,1.606586,1.525746,1.894728,1.93169,11
2.402311,1.881006,1.696348,1.604471,1.822031,1.802656,1.924803,1.870052,1.616097,1.547935,1.897206,1.938993,11
2.577662,1.560543,1.346056,1.833572,1.508805,1.471267,1.632466,1.538218,1.216578,1.141419,2.051897,1.638221,11
2.612157,2.024897,1.860047,1.607741,2.061082,1.998347,2.104386,2.10467,1.765897,1.796911,1.633651,2.138342,11
2.406832,1.872788,1.690915,1.600424,1.810959,1.794415,1.913265,1.8455,1.595005,1.526161,1.911339,1.925185,11
2.413786,1.902883,1.724467,1.576501,1.852796,1.836245,1.952482,1.881298,1.628642,1.570735,1.880083,1.95546,11
2.639824,1.592274,1.340541,1.875914,1.500925,1.517238,1.55291,1.493413,1.236088,1.070977,1.975911,1.633653,11
2.598089,1.510262,1.292607,1.85142,1.535935,1.479707,1.660883,1.602232,1.162482,1.189861,2.026941,1.663051,11
2.58988,1.52306,1.285284,1.824973,1.475562,1.450806,1.57152,1.514448,1.168957,1.08698,1.978262,1.61615,11
2.391835,1.865745,1.675438,1.610768,1.810476,1.793849,1.91695,1.859526,1.597563,1.530465,1.900528,1.92787,11
2.40702,1.897704,1.716623,1.585139,1.837374,1.822192,1.938236,1.876571,1.627332,1.561464,1.887272,1.95133,11
2.596341,1.530433,1.300264,1.850073,1.495667,1.474774,1.619123,1.548418,1.181526,1.129655,2.009453,1.641802,11
2.609287,1.508453,1.26143,1.869044,1.462942,1.442411,1.55876,1.50956,1.158405,1.070499,2.008005,1.607605,11
2.427874,1.872232,1.675924,1.644206,1.789369,1.780156,1.868206,1.847661,1.606262,1.503237,1.881007,1.93154,11
2.413308,1.880498,1.688951,1.616074,1.809904,1.806325,1.91232,1.858802,1.612113,1.531321,1.887764,1.936317,11
2.59994,1.528569,1.27968,1.856927,1.453274,1.451063,1.554242,1.502169,1.180958,1.063776,1.981378,1.615773,11
2.577968,1.522641,1.249136,1.862534,1.462221,1.459244,1.538885,1.506679,1.160217,1.038071,1.951474,1.626818,11
2.423819,1.893144,1.695307,1.64664,1.815957,1.802535,1.891592,1.877517,1.637156,1.534688,1.864863,1.954359,11
2.409182,1.883334,1.688954,1.619512,1.815942,1.809157,1.918402,1.873858,1.621719,1.544355,1.879747,1.946088,11
2.607268,1.492229,1.242175,1.855384,1.464412,1.449613,1.577025,1.519006,1.133206,1.082396,1.987957,1.612764,11
2.57103,1.526414,1.294598,1.826004,1.477937,1.448371,1.584481,1.53369,1.185401,1.106281,1.98389,1.624673,11
2.395641,1.872416,1.676864,1.622872,1.802911,1.796651,1.905616,1.859951,1.606449,1.524151,1.890273,1.934276,11
2.418503,1.891105,1.698503,1.614114,1.821404,1.817767,1.922846,1.86922,1.623492,1.54587,1.885525,1.948121,11
2.589098,1.530209,1.278974,1.846569,1.453207,1.458608,1.564028,1.504878,1.184531,1.070035,1.971048,1.616524,11
2.620522,1.514987,1.245057,1.871055,1.446509,1.461222,1.531434,1.494413,1.158007,1.039476,1.948956,1.611928,11
2.394923,1.859555,1.65684,1.64286,1.785774,1.777878,1.879062,1.853436,1.595416,1.50259,1.885535,1.928222,11
2.42137,1.892491,1.699903,1.619565,1.812201,1.807333,1.900497,1.86592,1.627578,1.533202,1.864693,1.948502,11
2.597522,1.540582,1.293666,1.849515,1.460833,1.459028,1.558219,1.505219,1.196815,1.070681,1.972142,1.619671,11
2.601348,1.506033,1.250934,1.865099,1.447693,1.44159,1.553328,1.508907,1.16003,1.062278,1.982794,1.609675,11
2.412251,1.868964,1.672086,1.627962,1.805574,1.784244,1.888514,1.857352,1.599811,1.512813,1.886629,1.932304,11
2.398778,1.877567,1.691336,1.606555,1.815705,1.800259,1.920353,1.863734,1.610796,1.540397,1.898681,1.934928,11
2.582776,1.546558,1.302866,1.824557,1.476981,1.477972,1.57379,1.507798,1.193336,1.079145,1.956859,1.622228,11
2.614349,1.525425,1.28169,1.857883,1.466524,1.45322,1.55713,1.493544,1.167482,1.065382,2.000621,1.607815,11
2.401518,1.866214,1.674859,1.619698,1.801367,1.789769,1.907235,1.855309,1.599052,1.525325,1.902751,1.927124,11
2.406063,1.886022,1.700046,1.599587,1.824817,1.810524,1.928959,1.866679,1.616558,1.547669,1.894242,1.941429,11
2.591037,1.542599,1.310505,1.841967,1.474098,1.456742,1.580913,1.523157,1.20159,1.097693,1.992158,1.628648,11
2.605714,1.507072,1.260914,1.871103,1.461535,1.439423,1.56131,1.507866,1.155339,1.069942,2.012554,1.608364,11
2.413376,1.880003,1.694821,1.616461,1.80813,1.787911,1.892517,1.851105,1.611302,1.520321,1.888417,1.931055,11
2.398714,1.867065,1.681728,1.608228,1.809961,1.789611,1.913252,1.8525,1.595297,1.529302,1.916003,1.92399,11
2.627873,1.486706,1.250706,1.863825,1.506008,1.463218,1.620832,1.567291,1.123451,1.14194,2.017066,1.641197,11
2.609085,1.520487,1.281504,1.847846,1.477231,1.453519,1.567614,1.505068,1.16057,1.078339,2.002766,1.610605,11
2.421718,1.870737,1.681978,1.622624,1.794719,1.781864,1.880112,1.838233,1.596782,1.505211,1.900035,1.922542,11
2.426302,1.899841,1.714018,1.605275,1.826512,1.814353,1.909982,1.861669,1.625602,1.539678,1.889549,1.948051,11
2.642732,1.479658,1.216862,1.873896,1.473308,1.453232,1.55651,1.519281,1.10261,1.074055,1.977439,1.618039,11
2.621274,1.498594,1.247453,1.876112,1.468964,1.443726,1.557247,1.508428,1.138825,1.070611,2.013788,1.606486,11
