@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.455559,1.468773,1.438332,2.46636,1.147765,1.59084,1.482615,1.934048,13
1.899431,1.837783,1.806296,2.237172,1.677371,1.966352,1.830163,1.800989,13
1.904485,1.852563,1.819282,2.262739,1.686848,1.981128,1.845097,1.798299,13
1.500889,1.481175,1.444061,2.445914,1.187239,1.584422,1.477363,1.977817,13
1.469927,1.441259,1.420853,2.454219,1.117558,1.534179,1.430833,1.955437,13
1.897847,1.834367,1.802813,2.226068,1.673568,1.960994,1.826433,1.80532,13
1.905175,1.847613,1.814132,2.244144,1.682444,1.972715,1.834505,1.789468,13
1.482577,1.445379,1.4223,2.437645,1.13449,1.550444,1.441967,1.966483,13
1.475188,1.450739,1.424532,2.438978,1.141542,1.565913,1.452041,1.940102,13
1.895977,1.835362,1.803201,2.243408,1.674723,1.963873,1.836172,1.807906,13
1.890698,1.826733,1.795643,2.202317,1.660859,1.943911,1.82034,1.802669,13
1.489189,1.437984,1.435431,2.452927,1.080695,1.507584,1.426577,1.968397,13
1.611638,1.564459,1.547432,2.504015,1.286084,1.655066,1.548468,2.048394,13
1.898308,1.842836,1.812376,2.242032,1.672116,1.9646,1.836533,1.800143,13
1.895632,1.839295,1.80447,2.243373,1.675603,1.966471,1.825605,1.796472,13
1.853128,1.812732,1.844843,2.383482,1.432964,1.724844,1.828573,1.880604,13
1.545981,1.510899,1.496775,2.502435,1.208698,1.615201,1.523275,2.030768,13
1.886983,1.829761,1.80834,2.302831,1.657561,1.96822,1.848858,1.647011,13
1.939615,1.896144,1.86885,2.343205,1.714597,2.020583,1.907172,1.663332,13
1.912936,1.848127,1.841908,2.301299,1.649051,1.962437,1.867394,1.671601,13
1.900892,1.847794,1.832989,2.31585,1.66195,1.974675,1.874587,1.684954,13
1.94461,1.893848,1.871201,2.336308,1.72028,2.023802,1.913784,1.677523,13
1.86814,1.781425,1.773771,2.256841,1.583409,1.886732,1.771881,1.638873,13
1.90828,1.846273,1.815506,2.269158,1.679836,1.967899,1.832766,1.624128,13
1.912883,1.831369,1.809431,2.264593,1.668545,1.955393,1.823123,1.644499,13
1.925866,1.853289,1.821546,2.262233,1.687218,1.967291,1.823672,1.647477,13
1.915816,1.840845,1.81539,2.264846,1.660664,1.946157,1.808627,1.630132,13
1.920765,1.84416,1.814161,2.251337,1.676469,1.95485,1.810412,1.655911,13
1.907732,1.846468,1.809363,2.267936,1.672917,1.957898,1.810194,1.638595,13
1.916256,1.843117,1.817738,2.271368,1.670969,1.958775,1.824945,1.62401,13
1.903445,1.842277,1.817586,2.289428,1.65653,1.952177,1.826917,1.612509,13
1.90183,1.837711,1.820878,2.258531,1.628287,1.92348,1.815163,2.082801,13
1.939465,1.866897,1.867928,2.185929,1.633251,1.921828,1.835409,2.157251,13
2.121769,2.04752,2.063504,2.307527,1.852905,2.102738,2.016584,2.128212,13
1.902461,1.831742,1.808614,2.283187,1.648985,1.943327,1.81412,1.614983,13
1.921476,1.846117,1.82015,2.272346,1.677125,1.962055,1.824829,1.63033,13
1.933428,1.864768,1.835243,2.277002,1.694038,1.978953,1.840588,1.62418,13
1.919321,1.858951,1.835065,2.302786,1.676578,1.977186,1.85665,1.631972,13
1.868523,1.824273,1.810146,2.301932,1.609067,1.925369,1.826501,1.651751,13
1.890745,1.837454,1.823338,2.302684,1.636381,1.951609,1.844991,1.64385,13
1.983581,1.891043,1.904912,2.221066,1.672387,1.955892,1.866263,1.82502,13
1.885963,1.818849,1.80866,2.290095,1.616805,1.931171,1.828451,1.660362,13
1.899379,1.854361,1.826911,2.293019,1.672749,1.974703,1.854846,1.608977,13
1.874039,1.796077,1.794109,2.254304,1.578137,1.892588,1.790747,1.630652,13
1.865635,1.791943,1.7858,2.244611,1.576053,1.877845,1.767031,1.621359,13
1.922393,1.868776,1.849818,2.323444,1.675019,1.98486,1.878265,1.664745,13
1.898588,1.832689,1.845755,2.204842,1.610868,1.921269,1.845812,1.748976,13
1.842157,1.793384,1.753412,2.24198,1.61245,1.892874,1.747364,1.669502,13
1.84387,1.785815,1.773146,2.229214,1.570335,1.88332,1.78027,1.668263,13
1.855209,1.776545,1.768507,2.254976,1.572465,1.88426,1.773456,1.635583,13
1.920854,1.860711,1.845814,2.314087,1.663759,1.973361,1.869556,1.662383,13
1.90049,1.831515,1.832187,2.291353,1.608436,1.92613,1.839199,1.683266,13
1.889733,1.810136,1.805533,2.276455,1.612249,1.921666,1.820968,1.664529,13
1.876256,1.78383,1.812148,2.325767,1.601434,1.935143,1.8546,1.587503,13
1.937626,1.849553,1.887502,2.370754,1.664375,1.996674,1.932249,1.639916,13
1.838309,1.752322,1.752491,2.212375,1.542575,1.857237,1.749179,1.640978,13
2.038162,1.941713,1.965673,2.196128,1.768106,2.034606,1.954547,2.047138,13
1.868476,1.789205,1.780549,2.259736,1.597536,1.906258,1.795133,1.644195,13
1.901661,1.85665,1.828031,2.280371,1.675028,1.962658,1.833005,1.579269,13
2.024917,1.933732,1.946965,2.139558,1.746686,2.017608,1.934798,2.13867,13
2.093945,2.006474,2.018526,2.323547,1.775032,2.032949,1.951759,2.14662,13
1.856945,1.798191,1.779087,2.274869,1.598936,1.912818,1.795635,1.663815,13
1.829057,1.762183,1.741474,2.225553,1.561564,1.862423,1.736565,1.641449,13
1.949454,1.896685,1.885883,2.196518,1.673882,1.950815,1.843323,1.750894,13
1.88177,1.828122,1.804084,2.272179,1.62775,1.936097,1.815068,1.647832,13
1.89613,1.842118,1.819593,2.27945,1.635501,1.944162,1.827301,1.660596,13
1.863773,1.801886,1.789959,2.226902,1.578624,1.89122,1.786459,1.68434,13
1.834429,1.754094,1.752176,2.216653,1.557709,1.871413,1.761776,1.655863,13
2.058132,1.958393,1.980707,2.177336,1.785968,2.05451,1.975246,1.977387,13
1.864404,1.806788,1.788135,2.272447,1.59763,1.911515,1.796564,1.660132,13
1.891615,1.837702,1.817857,2.276934,1.626648,1.938099,1.824274,1.652772,13
2.096637,2.014104,2.036405,2.240617,1.841157,2.106005,2.02763,2.027977,13
1.857184,1.756453,1.792417,2.266595,1.552994,1.888598,1.813816,1.625938,13
2.082517,2.004586,2.022341,2.315636,1.768128,2.042154,1.958257,1.768203,13
1.924665,1.860328,1.871236,2.361544,1.692878,2.019228,1.921455,1.571033,13
1.914588,1.88018,1.881381,2.390195,1.70952,2.038116,1.943297,1.584392,13
1.86328,1.794027,1.820524,2.322416,1.574827,1.918574,1.840749,1.638476,13
1.874715,1.798212,1.834739,2.288767,1.594393,1.923254,1.861351,1.634876,13
1.890872,1.880093,1.891023,2.357072,1.674788,2.000339,1.93482,1.643832,13
1.90279,1.864983,1.881192,2.416892,1.670817,2.012553,1.940345,1.615717,13
2.040298,1.939482,1.987947,2.31178,1.758757,2.060342,2.00068,1.838819,13
1.987162,1.918191,1.942121,2.294206,1.709118,2.015926,1.935834,1.774007,13
2.080797,2.036709,2.055705,2.309906,1.845322,2.143386,2.061152,2.141583,13
1.858695,1.79475,1.813635,2.356481,1.581833,1.920876,1.837194,1.597672,13
1.957704,1.844964,1.910622,2.302781,1.622099,1.950258,1.907694,1.730531,13
1.929769,1.862392,1.89765,2.410855,1.685477,2.026073,1.971939,1.638855,13
1.883017,1.818816,1.838607,2.364751,1.641661,1.974808,1.894955,1.593437,13
1.899532,1.796709,1.834047,2.312732,1.61096,1.939466,1.861113,1.609954,13
1.90006,1.810154,1.847654,2.357544,1.627387,1.967285,1.899855,1.603829,13
1.873583,1.814767,1.787494,2.255088,1.633493,1.926832,1.793207,1.605159,13
1.892006,1.841307,1.826065,2.299436,1.629112,1.942672,1.841645,1.667584,13
1.880053,1.829704,1.820818,2.18906,1.60044,1.908899,1.810347,1.702678,13
1.843391,1.751467,1.749889,2.233339,1.565705,1.875852,1.768464,1.685858,13
1.879594,1.823332,1.795858,2.25069,1.631132,1.9316,1.802191,1.611936,13
1.913301,1.87129,1.864055,2.208089,1.64269,1.94386,1.857081,1.74293,13
1.855148,1.804292,1.787085,2.276078,1.588785,1.902054,1.795495,1.643857,13
1.872784,1.808854,1.80009,2.247115,1.583275,1.895797,1.791302,1.632267,13
1.881387,1.832103,1.815206,2.28877,1.614949,1.926627,1.824274,1.650137,13
1.964868,1.880489,1.903907,2.23665,1.664494,1.95355,1.879095,1.825575,13
1.849729,1.811706,1.808428,2.295285,1.557242,1.883181,1.79697,2.080151,13
1.915318,1.849042,1.855715,2.354089,1.683774,2.007846,1.905514,1.582682,13
1.915932,1.847618,1.878311,2.395827,1.621383,1.967353,1.895455,1.541896,13
1.890802,1.811301,1.831317,2.341678,1.610449,1.940167,1.848223,1.561526,13
1.911049,1.852258,1.878437,2.406812,1.653479,1.99718,1.925504,1.623192,13
1.870833,1.797976,1.823497,2.332718,1.600578,1.933608,1.854787,1.562572,13
1.868686,1.774851,1.81937,2.331255,1.550821,1.899669,1.841419,1.597607,13
1.89436,1.818787,1.851311,2.342263,1.612477,1.955182,1.88322,1.587135,13
1.930923,1.824545,1.860015,2.32878,1.665772,1.98691,1.905448,1.59928,13
1.943669,1.853025,1.878963,2.322531,1.705515,2.026062,1.938548,1.590663,13
1.929698,1.828567,1.875454,2.374581,1.633274,1.972157,1.912372,1.57922,13
1.993578,1.90762,1.932123,2.220595,1.755351,2.043886,1.961269,1.81373,13
2.073698,1.976003,2.020497,2.304003,1.739863,2.030364,1.973815,2.083033,13
1.922605,1.845838,1.886772,2.369481,1.647128,1.99411,1.936326,1.592882,13
1.890784,1.794129,1.837378,2.352699,1.600739,1.941572,1.876423,1.603552,13
1.913371,1.840714,1.875345,2.397081,1.648173,1.995831,1.934885,1.604499,13
1.901184,1.839932,1.869839,2.380179,1.643275,1.985042,1.921555,1.615018,13
1.879308,1.778905,1.822516,2.353132,1.594624,1.937133,1.877372,1.64652,13
1.927525,1.846795,1.897117,2.325908,1.636269,1.981766,1.936588,1.690407,13
1.624649,1.538185,1.507702,1.974855,1.350855,1.687844,1.543191,1.503736,13
1.62506,1.544147,1.513576,1.994554,1.349532,1.695623,1.542527,1.475023,13
1.103949,1.039653,1.015037,2.206592,0.539269,1.185842,1.034386,1.64813,13
1.626055,1.54151,1.509044,1.971148,1.341244,1.677313,1.534851,1.508463,13
1.615984,1.535385,1.50129,1.981384,1.342735,1.682492,1.52681,1.485663,13
1.155919,1.048276,1.062436,2.232802,0.487649,1.145155,1.028639,1.644291,13
1.088546,1.030482,1.013017,2.232339,0.490429,1.179857,1.044266,1.645246,13
1.620341,1.531635,1.500951,1.974139,1.340385,1.679697,1.52728,1.491978,13
1.628836,1.542346,1.509095,1.985114,1.351529,1.690512,1.534877,1.50583,13
1.241039,1.097055,1.128747,2.220435,0.59773,1.178948,1.077325,1.618136,13
1.16975,1.06869,1.052623,2.182026,0.610927,1.187023,1.040346,1.718123,13
1.632403,1.543327,1.516096,1.985496,1.352104,1.694417,1.540035,1.458426,13
1.635397,1.547213,1.516299,1.982859,1.354045,1.692681,1.537074,1.467872,13
1.128682,1.040761,1.028515,2.201978,0.532793,1.162659,1.022729,1.665938,13
1.076366,1.073707,1.018817,2.222496,0.542396,1.17362,1.030367,1.722256,13
1.643884,1.549724,1.518314,1.977635,1.370947,1.701823,1.554372,1.523687,13
1.626132,1.53606,1.508271,1.989197,1.338614,1.682726,1.532628,1.493267,13
1.220596,1.091722,1.127953,2.241326,0.52442,1.154822,1.072464,1.63757,13
1.104113,1.03317,1.013275,2.210991,0.536028,1.184138,1.03932,1.655582,13
1.623756,1.548185,1.521091,2.004894,1.349754,1.701837,1.560262,1.491681,13
1.6043,1.516359,1.487731,1.986524,1.326247,1.67642,1.524632,1.504452,13
1.078815,1.031236,1.010282,2.208028,0.516692,1.18671,1.063923,1.669634,13
1.081274,1.018999,1.010102,2.238811,0.476916,1.177223,1.055756,1.683708,13
1.616881,1.530134,1.504293,1.999415,1.338802,1.689663,1.545199,1.510844,13
1.613067,1.531016,1.510793,2.016281,1.339202,1.698781,1.557746,1.476432,13
1.108918,1.03025,1.06864,2.294572,0.371463,1.160951,1.081733,1.629518,13
1.067228,1.021107,1.011688,2.251603,0.482048,1.197016,1.078249,1.662247,13
1.610702,1.528254,1.506697,1.993921,1.334727,1.688779,1.554716,1.491574,13
1.609092,1.52145,1.502012,2.002894,1.332463,1.690672,1.547811,1.478392,13
1.101898,1.018791,1.033621,2.229972,0.463581,1.168572,1.061167,1.620974,13
1.077992,1.010325,1.01379,2.247427,0.453165,1.173909,1.057859,1.661866,13
1.79922,1.728819,1.709052,2.159206,1.562137,1.879077,1.755654,1.691818,13
1.754568,1.674184,1.655966,2.123884,1.50494,1.829035,1.698972,1.651196,13
1.082999,1.009341,1.035228,2.26217,0.376548,1.158051,1.071694,1.631155,13
1.088636,1.024359,1.022543,2.257951,0.480184,1.186258,1.07804,1.684515,13
1.723104,1.6463,1.626978,2.090539,1.463184,1.79475,1.669795,1.609707,13
1.621983,1.541871,1.519801,2.032773,1.353211,1.711915,1.573198,1.523617,13
1.07662,1.012811,1.037073,2.293915,0.366319,1.161663,1.080584,1.685662,13
1.104546,1.024407,1.025988,2.218392,0.54068,1.178956,1.060859,1.65574,13
1.617273,1.537992,1.514865,2.010858,1.34351,1.698581,1.564854,1.501979,13
1.613371,1.512988,1.488296,1.97655,1.330134,1.672074,1.523979,1.549888,13
1.068088,1.061959,1.024859,2.237557,0.571399,1.238966,1.111519,1.666161,13
1.539758,1.472839,1.460683,2.127961,1.198391,1.583209,1.461499,1.908425,13
1.617606,1.541268,1.511816,1.997631,1.344089,1.693207,1.550028,1.493963,13
1.608287,1.532777,1.494677,1.996842,1.333397,1.681634,1.520238,1.498717,13
1.139859,1.060358,1.083979,2.273204,0.373876,1.115535,1.048629,1.707574,13
1.424959,1.342988,1.348629,2.209559,1.006981,1.464719,1.337502,1.450075,13
1.614,1.550188,1.517418,2.023027,1.354036,1.707258,1.561142,1.496046,13
1.691645,1.609925,1.576708,2.051173,1.43057,1.754025,1.602669,1.615252,13
1.087239,1.019085,1.022391,2.258427,0.40704,1.145352,1.029367,1.676037,13
1.104704,1.037551,1.015125,2.231098,0.522453,1.170467,1.027704,1.714039,13
1.698784,1.641194,1.605886,2.090398,1.452619,1.780626,1.639025,1.610012,13
1.665001,1.596488,1.561269,2.063888,1.40907,1.746995,1.593549,1.582306,13
1.074898,1.038395,1.007117,2.234303,0.509003,1.184514,1.045007,1.686821,13
1.13628,1.04394,1.031967,2.22302,0.547891,1.166642,1.022184,1.703161,13
1.599299,1.523777,1.495275,1.989581,1.317627,1.673391,1.52558,1.46611,13
1.602017,1.516796,1.487317,1.98792,1.326974,1.676283,1.516816,1.480794,13
1.107666,1.048241,1.01799,2.205774,0.576533,1.197134,1.043408,1.689129,13
1.140732,1.053545,1.034323,2.211664,0.58635,1.185702,1.033743,1.698023,13
1.589634,1.510162,1.479911,1.963714,1.305597,1.658013,1.508949,1.483252,13
1.593606,1.50643,1.47258,1.973905,1.314449,1.661565,1.499548,1.510284,13
1.134759,1.055729,1.027493,2.198544,0.587766,1.181376,1.03331,1.715343,13
1.148153,1.057428,1.037001,2.207721,0.597072,1.185678,1.031912,1.705115,13
1.59135,1.505664,1.474269,1.965172,1.306231,1.655167,1.498627,1.490426,13
1.596537,1.527135,1.481854,1.984212,1.330025,1.670701,1.503189,1.50906,13
1.196095,1.076186,1.109782,2.27338,0.458264,1.120024,1.043609,1.715358,13
1.15251,1.052605,1.040166,2.214583,0.572911,1.171286,1.024553,1.703172,13
1.602556,1.50192,1.49123,1.958886,1.315249,1.66642,1.5432,1.504272,13
1.578884,1.494381,1.470351,1.985312,1.315072,1.666031,1.522893,1.520756,13
1.152801,1.048518,1.062961,2.206539,0.628702,1.221154,1.133846,1.677092,13
1.166382,1.098495,1.106438,2.287156,0.651211,1.269662,1.177132,1.740641,13
1.69033,1.923963,1.625939,2.607119,2.026585,2.063247,1.967999,1.391747,26
1.879665,2.001433,1.791888,2.619925,2.07194,2.076005,2.033114,1.513444,26
1.584858,1.845421,1.508946,2.508428,1.948887,1.970143,1.847161,1.251322,26
1.607802,1.873229,1.535136,2.52733,1.963958,1.988776,1.862569,1.26883,26
1.635568,1.895476,1.587072,2.567222,1.978839,2.012821,1.925349,1.324127,26
2.493905,2.698546,2.465869,2.660477,2.715219,2.59779,2.659637,2.514419,26
2.539107,2.740013,2.498842,2.698647,2.741093,2.62534,2.664161,2.545222,26
2.542529,2.74391,2.502063,2.701277,2.744295,2.628182,2.666157,2.548982,26
2.530486,2.730533,2.49119,2.69351,2.733356,2.618862,2.659675,2.535345,26
1.664511,1.912668,1.562421,2.512153,2.007832,2.009686,1.846884,1.321094,26
1.59107,1.862801,1.52009,2.511896,1.937536,1.950829,1.818939,1.259524,26
1.604961,1.883001,1.547166,2.535753,1.948624,1.972574,1.854194,1.27015,26
1.933335,2.113846,1.865253,2.671825,2.145528,2.141991,2.053649,1.654443,26
1.624565,1.899256,1.578477,2.506592,1.941402,1.959597,1.853613,1.322015,26
1.656779,1.886625,1.560982,2.501779,1.963607,1.97301,1.83538,1.256667,26
1.69414,1.931857,1.601162,2.507711,2.006145,2.01532,1.869529,1.27884,26
1.646917,1.837223,1.550865,2.482901,1.913016,1.906556,1.832694,1.956465,26
1.626003,1.896254,1.578753,2.566842,1.970525,2.006755,1.910641,1.312226,26
