@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.97263,1.931451,1.877296,2.317925,2.119254,1.558229,1.918703,1.870809,1.800592,1.589341,1.580357,1.891735,1.966037,1.606759,13
1.932375,1.900777,1.935478,2.24913,2.122743,1.520809,1.859122,1.824208,1.750368,1.587183,1.535169,1.822494,1.900391,1.609599,13
2.015439,1.943422,1.858187,2.323319,2.143444,1.635404,1.951361,1.873981,1.890803,1.644054,1.586272,1.866723,1.97979,1.605665,13
1.703343,2.216527,2.032867,2.329593,1.625368,2.119287,2.146017,2.152599,2.380929,2.271545,1.834788,2.167557,1.927899,2.250043,13
2.075735,1.948867,1.90966,2.323368,2.220586,1.601022,1.970282,1.851752,1.847786,1.604274,1.61609,1.855798,2.083143,1.593636,13
2.139784,1.988857,1.97935,2.380685,2.274024,1.67844,2.025175,1.891016,1.935919,1.677467,1.677687,1.892424,2.13694,1.640648,13
2.015071,1.940753,1.888303,2.360206,2.12993,1.698493,1.937099,1.870478,1.910081,1.717728,1.587379,1.885581,2.010911,1.686194,13
2.083891,1.972945,1.934207,2.373924,2.212404,1.683804,1.98333,1.885697,1.936114,1.674033,1.631219,1.887116,2.064155,1.631112,13
2.058354,1.961097,1.908296,2.36376,2.18343,1.669964,1.965786,1.87821,1.915726,1.674896,1.613442,1.887824,2.048694,1.643063,13
1.881832,1.887,1.880104,2.22426,2.069533,1.513678,1.823218,1.809471,1.73276,1.569239,1.488215,1.80812,1.851972,1.592529,13
1.775532,1.870354,1.804549,2.145353,1.955501,1.56052,1.77608,1.783553,1.734815,1.608452,1.422344,1.779951,1.763195,1.624578,13
1.941455,1.905428,1.930485,2.229592,2.132954,1.535882,1.864717,1.810133,1.760652,1.590953,1.53055,1.800403,1.92685,1.604829,13
1.92579,1.911002,1.914386,2.238918,2.125768,1.496866,1.870646,1.845549,1.720801,1.543115,1.543668,1.832433,1.892971,1.578454,13
1.965898,1.97095,1.969534,2.282383,2.165373,1.566992,1.926844,1.903251,1.791551,1.585506,1.61214,1.884094,1.933562,1.614167,13
1.93137,1.940534,1.932211,2.229712,2.135057,1.515382,1.888057,1.863388,1.742217,1.539135,1.563232,1.850702,1.900711,1.572573,13
1.520951,2.100664,2.046957,2.178872,1.661389,1.860462,2.038173,2.05522,2.076465,1.974652,1.731522,2.036513,1.688456,1.963913,13
1.923368,1.904982,2.009634,2.267178,1.902803,1.856526,1.868954,1.826551,2.008529,2.089026,1.566471,1.830469,2.150329,2.104979,13
1.828402,1.869162,1.860829,2.188868,2.013867,1.540258,1.794826,1.791389,1.723919,1.604971,1.456574,1.790332,1.803449,1.623185,13
1.925951,1.845147,1.897029,2.272213,2.114957,1.476475,1.845883,1.836215,1.6891,1.569288,1.524222,1.81728,1.856632,1.599135,13
1.797989,1.839419,1.819297,2.175905,1.978391,1.523689,1.775483,1.782139,1.697495,1.60574,1.428253,1.771138,1.761931,1.618736,13
1.9127,1.886813,1.904546,2.252929,2.106668,1.494471,1.857579,1.834088,1.738561,1.537442,1.529985,1.819193,1.865427,1.559735,13
1.877344,1.842934,1.904074,2.284203,1.833107,1.822607,1.826242,1.812862,2.013671,2.048753,1.506324,1.810676,2.079253,2.056473,13
1.883537,1.849592,1.914965,2.282638,1.832634,1.865928,1.819601,1.790485,2.028932,2.077261,1.501106,1.789516,2.118473,2.081335,13
1.977853,1.982066,2.010761,2.299322,2.16874,1.61374,1.937997,1.912781,1.840114,1.658838,1.629149,1.905208,1.935508,1.674029,13
1.791989,1.874628,1.882148,2.173202,1.98364,1.547505,1.801785,1.807718,1.724623,1.627937,1.474547,1.811374,1.774791,1.654033,13
1.91031,1.898469,1.934557,2.237407,2.10704,1.500809,1.848746,1.82757,1.719579,1.584698,1.532134,1.831122,1.884384,1.625157,13
1.881844,1.90904,1.919271,2.226958,2.080816,1.509746,1.844102,1.838786,1.731127,1.573608,1.523296,1.837538,1.847148,1.608845,13
1.869741,1.875765,1.890461,2.210901,2.061251,1.505621,1.812563,1.801157,1.706648,1.593855,1.486588,1.806882,1.854087,1.633479,13
1.800706,1.938552,1.813722,2.22718,1.940195,1.654449,1.880507,1.888169,1.838055,1.652852,1.529157,1.900179,1.765116,1.645394,13
1.975638,1.930182,1.851203,2.336993,2.100198,1.641112,1.907098,1.867339,1.868804,1.640282,1.554405,1.879062,1.938141,1.618451,13
1.987135,1.935139,1.870021,2.329407,2.131719,1.568811,1.916299,1.870594,1.815384,1.567043,1.56972,1.883094,1.956484,1.567991,13
1.896133,1.866948,1.811839,2.306298,2.029415,1.578108,1.844022,1.838967,1.771583,1.613103,1.493394,1.843959,1.843189,1.603024,13
2.080245,1.946711,1.997862,2.355412,2.241974,1.559098,1.980486,1.876524,1.818449,1.597982,1.657989,1.892064,2.078973,1.609394,13
1.752618,2.177602,1.916155,2.359653,1.885642,1.91446,2.085965,2.135737,2.148453,1.860774,1.750005,2.131442,1.689825,1.83054,13
2.181457,2.003476,2.068044,2.44522,2.321971,1.670399,2.05707,1.934469,1.929206,1.714056,1.742852,1.953416,2.187282,1.706798,13
1.969662,1.896245,1.942806,2.215293,2.065563,1.61502,1.92111,1.808646,1.865288,1.757991,1.585736,1.810309,2.08772,1.769412,13
1.936244,1.964147,1.978523,2.159654,2.054315,1.662386,1.928864,1.869371,1.893468,1.769979,1.603321,1.852911,2.013551,1.775828,13
1.90827,1.911294,1.935097,2.186002,2.021388,1.58392,1.882092,1.810387,1.818554,1.733289,1.551037,1.813402,2.009212,1.757537,13
1.950861,1.571941,1.483154,2.494968,1.996777,1.923738,1.440973,1.563169,1.925927,1.954135,1.029085,1.586712,1.99661,1.950555,13
1.97922,1.528799,1.505559,2.466159,2.029795,1.883141,1.43477,1.498741,1.855118,1.935147,1.01754,1.531477,2.045246,1.937685,13
1.916567,1.903531,1.940016,2.208438,2.028335,1.572873,1.903422,1.817468,1.836298,1.716645,1.573198,1.810433,2.014068,1.731664,13
1.956581,1.919695,1.974189,2.237613,2.068178,1.55848,1.926326,1.833366,1.822066,1.731877,1.606116,1.842115,2.065033,1.762417,13
2.005455,1.507167,1.579418,2.3631,2.085938,1.795701,1.484716,1.46662,1.767003,1.905303,1.083251,1.492948,2.080956,1.917072,13
2.047757,1.491708,1.646043,2.436516,2.11869,1.878263,1.486262,1.435126,1.815496,1.949899,1.095531,1.445448,2.145272,1.946937,13
1.933045,1.908888,1.971255,2.218047,2.049664,1.603915,1.913602,1.825248,1.857181,1.741615,1.589631,1.802532,2.029148,1.748917,13
1.926428,1.919736,1.994008,2.225095,2.057928,1.544806,1.92954,1.861935,1.819639,1.710927,1.615806,1.83908,1.98176,1.727474,13
2.009595,1.514911,1.597794,2.396586,2.088772,1.848315,1.467993,1.456839,1.796155,1.92447,1.069051,1.485101,2.097131,1.93407,13
2.007894,1.488607,1.590623,2.455327,2.071114,1.879965,1.447395,1.465088,1.829911,1.935127,1.04877,1.491862,2.088241,1.94131,13
1.923027,1.900093,1.943763,2.203024,2.033754,1.597225,1.905929,1.812449,1.852262,1.729334,1.574352,1.794278,2.023178,1.736077,13
1.924036,1.907583,1.94268,2.205985,2.035918,1.593639,1.896421,1.813936,1.840628,1.733776,1.563839,1.813457,2.020721,1.748962,13
2.036777,1.500625,1.617867,2.401778,2.110834,1.844504,1.490109,1.42918,1.790648,1.923556,1.087657,1.456351,2.14098,1.927346,13
1.991298,1.597953,1.528628,2.394656,2.068034,1.79646,1.515115,1.523527,1.798947,1.895777,1.105151,1.55795,2.062024,1.905819,13
1.938687,1.917646,1.966947,2.2265,2.048258,1.642061,1.922062,1.828439,1.893885,1.761787,1.592556,1.789116,2.033637,1.751308,13
1.920355,1.919171,1.95027,2.206445,2.03513,1.611707,1.897437,1.823092,1.859059,1.743881,1.564545,1.816362,2.00778,1.75249,13
1.983675,1.53412,1.540335,2.461866,2.031082,1.938949,1.429142,1.492899,1.872372,1.99923,1.017014,1.517439,2.05325,1.991709,13
2.115177,1.58403,1.71172,2.493396,2.175374,1.971494,1.561248,1.52297,1.899931,2.042158,1.192147,1.544259,2.206262,2.036641,13
1.925444,1.912279,1.944979,2.203854,2.035673,1.614331,1.907991,1.815284,1.865641,1.736413,1.572932,1.789592,2.021061,1.733819,13
1.915421,1.917569,1.932561,2.194416,2.025224,1.611174,1.891142,1.813592,1.855748,1.740466,1.552151,1.80807,2.006437,1.746728,13
2.023263,1.52386,1.606145,2.397943,2.099592,1.869043,1.483021,1.446015,1.822581,1.934789,1.073926,1.465458,2.109643,1.929205,13
1.982693,1.546369,1.497268,2.474523,2.025141,1.931447,1.432246,1.509376,1.902223,1.972913,1.007913,1.534097,2.039504,1.960965,13
1.980929,1.96926,1.992382,2.251017,2.087671,1.657202,1.969838,1.88342,1.909205,1.781686,1.648163,1.877247,2.074958,1.793623,13
1.91767,1.908179,1.922796,2.192947,2.024658,1.58443,1.890782,1.806833,1.830344,1.72532,1.552953,1.810189,2.018054,1.741688,13
1.967299,1.535416,1.521113,2.410374,2.039247,1.825748,1.450833,1.482926,1.811457,1.887283,1.03228,1.515678,2.03919,1.895791,13
2.026974,1.500802,1.598885,2.418152,2.095028,1.839554,1.479436,1.437707,1.779605,1.919469,1.07413,1.475067,2.128205,1.929361,13
1.935825,1.90132,1.939895,2.207415,2.043504,1.600602,1.900932,1.810667,1.848305,1.738936,1.566828,1.811883,2.037825,1.753352,13
1.94793,1.90887,1.953292,2.147085,2.055516,1.589594,1.913599,1.824597,1.851254,1.734481,1.585835,1.823672,2.050875,1.750706,13
1.969293,1.530134,1.525642,2.440703,2.029634,1.89052,1.433891,1.493433,1.857415,1.945261,1.020679,1.521646,2.03942,1.946307,13
2.014555,1.515688,1.598643,2.409207,2.090386,1.855808,1.467621,1.447132,1.803369,1.929747,1.0631,1.470174,2.100834,1.93198,13
1.909016,1.910368,1.944852,2.186768,2.025279,1.596315,1.884318,1.81553,1.832857,1.739123,1.555091,1.813856,2.005516,1.759979,13
1.919283,1.916944,1.975266,2.213392,2.043781,1.556362,1.904813,1.83185,1.804586,1.720057,1.587856,1.83197,2.018343,1.750626,13
2.010518,1.542971,1.628199,2.405345,2.100903,1.85441,1.492381,1.481873,1.813888,1.926244,1.105795,1.488156,2.089469,1.930619,13
2.025903,1.519609,1.646255,2.395545,2.117159,1.815161,1.492397,1.448552,1.76365,1.902543,1.10396,1.473137,2.11775,1.917688,13
1.91447,1.913284,1.960328,2.204441,2.03311,1.594823,1.907091,1.831132,1.85463,1.731058,1.582864,1.813086,2.003201,1.741479,13
1.934023,1.906458,1.971363,2.223681,2.051677,1.595234,1.900044,1.82175,1.835806,1.751858,1.57846,1.822782,2.037683,1.776752,13
1.997669,1.50664,1.57325,2.429703,2.063116,1.878012,1.447177,1.456786,1.811809,1.951816,1.042648,1.486196,2.086495,1.956751,13
2.109161,1.562394,1.70683,2.498196,2.176868,1.915117,1.571422,1.525449,1.851861,1.993362,1.212428,1.553736,2.214591,2.00807,13
1.929207,1.90185,1.961586,2.223404,2.044099,1.576941,1.918221,1.830583,1.838533,1.722112,1.598091,1.819127,2.029572,1.742217,13
1.939842,1.92396,1.975074,2.22805,2.058295,1.5417,1.925029,1.843135,1.809396,1.712208,1.608438,1.851344,2.036703,1.747004,13
2.037092,1.480043,1.638438,2.43081,2.10856,1.869778,1.483457,1.431048,1.79536,1.941746,1.090216,1.454344,2.144642,1.946437,13
2.033271,1.495309,1.608963,2.422605,2.107745,1.829212,1.489153,1.439845,1.78088,1.905658,1.091715,1.465418,2.13364,1.915818,13
1.942605,1.902557,1.965425,2.21911,2.056121,1.580206,1.918541,1.826313,1.841214,1.729053,1.596305,1.818476,2.045032,1.747908,13
1.949442,1.914272,1.964303,2.232125,2.062345,1.568965,1.926269,1.832065,1.839539,1.720834,1.602043,1.833291,2.051261,1.74336,13
2.032285,1.476999,1.630105,2.449798,2.102224,1.874085,1.477598,1.452934,1.797492,1.942686,1.092786,1.480059,2.136174,1.956107,13
2.013303,1.500445,1.587851,2.429445,2.08497,1.839198,1.467999,1.452246,1.784833,1.918906,1.070877,1.479558,2.10861,1.930914,13
1.928906,1.910783,1.967349,2.219252,2.04899,1.555555,1.910555,1.835017,1.818113,1.71612,1.592986,1.838739,2.027813,1.749318,13
1.942876,1.913468,1.98473,2.234279,2.0642,1.564073,1.921497,1.837101,1.825525,1.725795,1.606837,1.833888,2.044141,1.75515,13
2.02534,1.508483,1.645808,2.405012,2.111748,1.837113,1.491299,1.447714,1.777665,1.920774,1.105736,1.464583,2.124313,1.931154,13
2.020039,1.492874,1.608932,2.432209,2.096711,1.827923,1.475368,1.451812,1.775518,1.904092,1.083701,1.477331,2.114648,1.919856,13
1.927554,1.906642,1.962813,2.217995,2.045584,1.557627,1.912367,1.832336,1.819631,1.714508,1.593573,1.833466,2.026023,1.744653,13
1.977479,1.923693,2.01459,2.270194,2.096041,1.583717,1.954025,1.85817,1.851972,1.74885,1.646961,1.851341,2.079874,1.776168,13
1.962684,1.522247,1.534467,2.45983,2.024036,1.872184,1.434311,1.509002,1.843056,1.928127,1.033058,1.541671,2.034004,1.940943,13
2.078059,1.48761,1.71795,2.458956,2.158585,1.871836,1.530228,1.449849,1.805298,1.9404,1.162393,1.450632,2.185708,1.944838,13
1.932258,1.911477,1.971875,2.231581,2.052159,1.59017,1.903469,1.834533,1.840961,1.740904,1.584509,1.836544,2.029506,1.768356,13
1.942024,1.907456,1.98092,2.233248,2.061235,1.5837,1.907772,1.829216,1.827859,1.7482,1.591518,1.834565,2.047676,1.780614,13
2.054049,1.483153,1.670675,2.437172,2.134155,1.84755,1.505347,1.442224,1.772311,1.932261,1.129807,1.47136,2.168768,1.951336,13
2.083101,1.476021,1.734756,2.476198,2.162342,1.875012,1.554852,1.470381,1.803329,1.956828,1.199609,1.466265,2.200284,1.965192,13
1.940627,1.912337,1.986623,2.232635,2.061861,1.597613,1.921977,1.835166,1.849473,1.739607,1.605392,1.813222,2.039346,1.754757,13
1.952393,1.913591,1.99659,2.248267,2.073733,1.578278,1.925416,1.842682,1.836579,1.743041,1.614349,1.841131,2.055621,1.774278,13
2.091497,1.526127,1.715836,2.452984,2.171481,1.898497,1.562039,1.491064,1.838596,1.980318,1.201953,1.479684,2.184595,1.976096,13
2.02024,1.476224,1.59893,2.439964,2.090616,1.83416,1.46803,1.458794,1.780202,1.937956,1.077377,1.471334,2.093788,1.944976,13
1.923784,1.908773,1.969674,2.209306,2.044943,1.591593,1.905424,1.826299,1.840869,1.733478,1.583735,1.813492,2.020544,1.751852,13
1.923967,1.918816,1.978661,2.221755,2.04877,1.563925,1.910412,1.840168,1.824379,1.722587,1.594661,1.840124,2.017746,1.753904,13
2.034361,1.495566,1.633602,2.427186,2.111046,1.866362,1.481994,1.445861,1.802167,1.942568,1.094109,1.467285,2.132999,1.950391,13
2.049081,1.489277,1.655568,2.425154,2.128471,1.833809,1.498682,1.438271,1.768112,1.922595,1.117799,1.468381,2.159758,1.940778,13
1.948832,1.907848,1.978746,2.230379,2.064525,1.614195,1.920735,1.831317,1.859166,1.755558,1.601748,1.820802,2.049871,1.772529,13
1.921843,1.908294,1.956002,2.185027,2.039405,1.584817,1.893869,1.8209,1.828307,1.734338,1.569919,1.822996,2.019874,1.759594,13
1.986246,1.507351,1.560782,2.43749,2.05067,1.876425,1.437948,1.476573,1.829059,1.942832,1.037509,1.508371,2.068696,1.952473,13
2.104209,1.631278,1.703291,2.482289,2.17787,1.913543,1.588357,1.570082,1.85747,2.013103,1.233283,1.611359,2.2024,2.035359,13
1.944138,1.912112,1.994206,2.237887,2.064483,1.599051,1.927439,1.842062,1.857367,1.747465,1.614115,1.82078,2.042518,1.763833,13
1.930053,1.912409,1.975407,2.218451,2.051397,1.559224,1.904939,1.828029,1.808439,1.728799,1.588213,1.831807,2.034216,1.763342,13
2.056328,1.835538,1.720379,2.354504,2.161366,1.894722,1.74799,1.851441,2.180741,1.824095,1.404715,1.847276,2.041393,1.824347,13
2.099603,1.561743,1.698087,2.492118,2.16295,1.948024,1.550418,1.511684,1.886714,2.015845,1.182033,1.521043,2.192492,2.010233,13
2.002252,1.908989,1.963635,2.27725,2.183702,1.541107,1.902268,1.821205,1.788253,1.602714,1.573761,1.815451,1.9854,1.609238,13
2.037863,1.961884,2.037654,2.319188,2.228262,1.586813,1.948699,1.885926,1.837445,1.624701,1.6371,1.873809,1.987342,1.625465,13
1.926469,1.938328,1.943676,2.275506,2.105545,1.606955,1.889385,1.869214,1.856938,1.632202,1.560542,1.855898,1.866404,1.619332,13
1.993887,1.914683,1.96635,2.289942,2.168262,1.58521,1.907372,1.846457,1.836883,1.652069,1.580157,1.831814,1.939988,1.641519,13
2.032077,1.971648,2.031809,2.311963,2.22078,1.609477,1.952249,1.886902,1.859387,1.636576,1.633737,1.871166,1.987168,1.626471,13
1.857989,1.901261,1.847243,2.226767,2.041922,1.542487,1.815017,1.824069,1.755032,1.563084,1.469892,1.814896,1.81015,1.572632,13
1.954855,1.928844,1.955297,2.241365,2.157208,1.506549,1.901728,1.852825,1.747353,1.54512,1.574526,1.832229,1.911994,1.562868,13
1.939591,1.936916,1.926275,2.236428,2.136955,1.542493,1.886851,1.845626,1.772695,1.553668,1.550456,1.824322,1.905193,1.563374,13
1.936709,1.955371,1.952174,2.232154,2.14367,1.521698,1.898772,1.868188,1.747975,1.551987,1.574267,1.857678,1.90644,1.58502,13
1.904696,1.945268,1.923671,2.23491,2.109374,1.51278,1.877239,1.868903,1.736231,1.538591,1.551775,1.859572,1.864399,1.573187,13
1.914303,1.953664,1.935707,2.220696,2.120563,1.524962,1.8877,1.866064,1.743533,1.557523,1.561178,1.856325,1.887883,1.592281,13
1.939016,1.935611,1.957505,2.238665,2.14601,1.498482,1.889717,1.855197,1.71978,1.55015,1.571646,1.850705,1.920853,1.593569,13
1.938591,1.937129,1.939025,2.24466,2.141035,1.522789,1.891044,1.85865,1.755803,1.536146,1.563518,1.839486,1.899333,1.556513,13
1.930711,1.923304,1.934852,2.261898,2.129861,1.51366,1.880245,1.862378,1.754847,1.541786,1.554249,1.844908,1.868914,1.558264,13
1.818875,1.934928,1.938561,2.228522,1.801935,1.808141,1.853773,1.863948,2.020109,2.021521,1.53913,1.866651,2.017537,2.034674,13
1.638596,1.966772,1.910651,2.154995,1.598145,1.892938,1.853479,1.922944,2.088227,2.09533,1.546296,1.926435,1.850219,2.104425,13
1.443153,2.144179,2.00612,2.258005,1.559448,1.935111,2.021278,2.109925,2.171127,2.036913,1.728579,2.109865,1.635339,2.048628,13
1.929268,1.924867,1.922172,2.255927,2.128388,1.518534,1.872446,1.852416,1.748256,1.534906,1.544104,1.842549,1.887993,1.559532,13
1.93515,1.946623,1.939365,2.243983,2.139292,1.522927,1.893606,1.86414,1.753299,1.538871,1.565779,1.847209,1.898611,1.562579,13
1.944879,1.959133,1.96364,2.248021,2.153446,1.517107,1.908873,1.879408,1.755741,1.536136,1.587169,1.865923,1.902063,1.565367,13
1.966726,1.943439,1.971787,2.275637,2.163383,1.549765,1.902974,1.86651,1.795703,1.569951,1.58001,1.851542,1.911433,1.577038,13
1.899228,1.892236,1.919734,2.277716,2.07786,1.554662,1.855708,1.854742,1.789541,1.625067,1.531278,1.842333,1.826856,1.624237,13
1.926308,1.920626,1.947795,2.277205,2.113161,1.563757,1.879538,1.8541,1.805796,1.605867,1.556103,1.848574,1.889642,1.609815,13
1.594682,2.017015,1.889391,2.190612,1.789835,1.733412,1.88992,1.976487,1.891748,1.754706,1.571197,1.972693,1.529683,1.767713,13
1.917274,1.914259,1.916746,2.262863,2.096107,1.576878,1.857316,1.841377,1.808918,1.614919,1.525251,1.83372,1.857892,1.612061,13
1.964399,1.910889,1.967701,2.268303,2.160036,1.506846,1.907197,1.859122,1.770071,1.560424,1.584893,1.834984,1.89381,1.565835,13
1.82335,1.903586,1.855263,2.224423,2.005692,1.552264,1.818282,1.844226,1.772192,1.57354,1.481018,1.838598,1.753634,1.581742,13
1.795714,1.892631,1.82695,2.21517,1.982481,1.508209,1.81251,1.857559,1.727665,1.558346,1.475358,1.846653,1.714815,1.580446,13
1.981214,1.945675,1.987083,2.297131,2.167554,1.58807,1.909376,1.873929,1.832323,1.622537,1.590473,1.862925,1.91667,1.620353,13
1.701,1.923536,1.867566,2.17653,1.881025,1.663722,1.851809,1.896001,1.878772,1.714445,1.517262,1.878519,1.636612,1.695984,13
1.892031,1.86826,1.882278,2.215644,2.080301,1.475249,1.839148,1.827081,1.684287,1.598744,1.510019,1.812901,1.849699,1.637242,13
1.821122,1.86668,1.868052,2.20054,2.001257,1.54648,1.812717,1.821716,1.748378,1.622988,1.477101,1.80956,1.740926,1.624828,13
1.858966,1.886219,1.854096,2.225748,2.039521,1.538306,1.812165,1.812435,1.754359,1.57277,1.469452,1.807074,1.813054,1.581064,13
1.957121,1.944593,1.96602,2.286666,2.143449,1.59053,1.896502,1.873857,1.834345,1.615932,1.573543,1.861066,1.882989,1.611085,13
1.857375,1.929893,1.903774,2.264799,2.032377,1.625661,1.849135,1.874681,1.843814,1.643399,1.519937,1.863877,1.777857,1.632243,13
1.891583,1.919564,1.890639,2.247947,2.071172,1.589746,1.846736,1.842023,1.818647,1.606848,1.505695,1.827607,1.826695,1.595898,13
1.96637,1.908153,1.83992,2.297976,2.111297,1.566787,1.883266,1.828237,1.808733,1.577227,1.525559,1.836555,1.948943,1.568686,13
1.992653,1.969271,1.894176,2.343972,2.130827,1.654828,1.945379,1.901356,1.893825,1.646057,1.599114,1.907651,1.967732,1.627021,13
1.785761,1.871834,1.809831,2.181779,1.964065,1.536679,1.78858,1.801771,1.746972,1.578429,1.439298,1.801244,1.752697,1.590808,13
1.509506,2.070612,1.939024,2.156574,1.613756,1.883759,1.966123,2.000735,2.104895,1.969257,1.638599,1.989862,1.655675,1.951191,13
1.885075,1.898219,1.874452,2.230966,2.067119,1.549824,1.834773,1.816638,1.783909,1.58075,1.490961,1.805537,1.844493,1.580686,13
1.925333,1.922898,1.936061,2.255091,2.127618,1.448827,1.908031,1.89536,1.707307,1.52806,1.586612,1.874539,1.838357,1.559346,13
1.600079,2.059832,1.953266,2.107376,1.581774,1.90336,1.958282,1.99068,2.174956,2.076685,1.641943,1.989047,1.80901,2.069538,13
1.528118,2.104078,1.954892,2.276835,1.602167,1.924833,1.95301,2.080934,2.112438,2.059536,1.667599,2.090548,1.582226,2.085346,13
1.908817,1.885785,1.911783,2.248271,2.090616,1.539019,1.842942,1.811892,1.767463,1.614786,1.513993,1.812018,1.889912,1.630386,13
1.837295,1.856566,1.838373,2.195527,2.021759,1.489556,1.797928,1.801436,1.685783,1.573329,1.457365,1.79397,1.785287,1.598299,13
1.686921,1.974288,1.919389,2.170179,1.891781,1.608677,1.896314,1.981552,1.745117,1.695831,1.592329,1.969455,1.569473,1.732091,13
1.904333,1.909996,1.940132,2.244942,2.097884,1.530517,1.864019,1.842005,1.768327,1.595124,1.543931,1.840357,1.868015,1.616539,13
1.903191,1.918949,1.944537,2.250037,2.094905,1.540823,1.868674,1.856695,1.784869,1.607921,1.5523,1.855678,1.849501,1.629975,13
1.801199,1.885026,1.874023,2.195764,1.983524,1.555899,1.81676,1.838891,1.768283,1.633532,1.489113,1.835638,1.726256,1.647833,13
1.804812,1.869437,1.829963,2.185353,1.98581,1.549035,1.801062,1.789362,1.761699,1.593447,1.449242,1.785823,1.802552,1.597078,13
1.551852,2.092305,1.968661,2.144839,1.672998,1.836981,1.992478,2.022594,2.066056,1.908683,1.667764,2.008065,1.626772,1.888638,13
1.887576,1.893911,1.910993,2.245249,2.071773,1.53972,1.839658,1.828099,1.767327,1.61213,1.515053,1.830426,1.852921,1.631701,13
