@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.921153,1.618279,1.911544,1.906094,1.78126,1.876334,1.532836,1.583371,1.859197,1.904566,1.834205,1.865998,1.914493,1.397136,1.563925,1.867954,10
1.854708,1.723729,1.848007,1.95411,1.735556,1.867564,1.599346,1.634252,1.882249,1.906864,1.897292,1.913033,1.877003,1.923718,1.531508,1.824044,10
1.872922,1.892208,1.89021,1.899462,1.703763,1.847363,1.543223,1.567915,1.829849,1.886835,1.829928,1.853764,1.882076,1.261389,1.494501,1.822449,10
1.837989,1.866346,1.864405,1.867567,1.678869,1.810283,1.514527,1.538211,1.789877,1.851488,1.798639,1.822552,1.857053,1.196229,1.441062,1.78417,10
2.024718,2.077725,2.062574,2.079013,1.829968,1.98353,1.737375,1.784809,1.978436,2.038429,2.000448,2.036961,1.847248,1.396454,1.669605,1.980322,10
1.961889,2.039047,2.006048,2.016747,1.759785,1.914535,1.674007,1.717677,1.899954,1.974628,1.938378,1.974969,1.81085,1.314903,1.579963,1.908722,10
1.877394,1.999616,1.921936,1.963657,1.653162,1.84945,1.601984,1.649028,1.853728,1.904913,1.88496,1.920795,1.894054,1.254627,1.508521,1.842415,10
1.875668,1.929504,1.91621,1.94179,1.666966,1.820583,1.555256,1.624031,1.828201,1.893213,1.852599,1.899533,1.869495,1.248502,1.496648,1.834794,10
1.860841,1.911126,1.889041,1.911672,1.667634,1.823875,1.539508,1.587579,1.824335,1.880647,1.834365,1.869363,1.867567,1.275591,1.487014,1.818666,10
2.176327,1.435592,2.180239,2.202195,1.960897,2.115355,1.853162,1.927461,2.111496,2.170545,2.116368,2.165061,2.148003,1.727402,1.861364,2.138606,10
1.836935,1.919172,1.874068,1.89952,1.646487,1.805933,1.53564,1.57686,1.802428,1.859258,1.824207,1.856715,1.855077,1.222362,1.452141,1.794413,10
1.826709,1.857746,1.849069,1.853929,1.676644,1.80348,1.502737,1.521836,1.782803,1.842034,1.788315,1.809424,1.849067,1.21671,1.432592,1.77398,10
1.900778,1.951745,1.917188,1.955545,1.700263,1.884535,1.600615,1.636613,1.886205,1.926922,1.886973,1.914252,1.916771,1.354766,1.554106,1.865027,10
1.823919,1.8531,1.85287,1.845295,1.695818,1.809768,1.519482,1.517704,1.774001,1.836655,1.78826,1.800155,1.863123,1.214515,1.415957,1.766029,10
1.871891,1.749795,1.876095,1.875045,1.720069,1.838816,1.513471,1.54347,1.820711,1.879549,1.806577,1.831534,1.874869,1.296063,1.493785,1.816458,10
1.856087,1.984967,1.897712,1.941808,1.635631,1.845139,1.598506,1.626278,1.839228,1.88691,1.872565,1.898562,1.888626,1.235175,1.482805,1.818077,10
1.886932,2.026723,1.924663,1.979437,1.653043,1.881693,1.636999,1.666813,1.883658,1.922106,1.911379,1.937266,1.919212,1.312789,1.534906,1.85665,10
1.905466,1.993111,1.931899,1.979507,1.682036,1.885002,1.619504,1.665654,1.893778,1.934862,1.905651,1.938609,1.919915,1.338771,1.559531,1.873398,10
2.060349,1.811335,2.030063,1.91643,2.078275,1.961719,1.559458,1.602416,1.901895,2.014832,1.838554,1.870658,2.000024,1.305394,1.646003,1.950363,10
1.856466,1.921703,1.886104,1.911776,1.661562,1.832471,1.554431,1.588523,1.824526,1.877754,1.839386,1.868009,1.874473,1.227714,1.477921,1.812215,10
1.827364,1.896924,1.861557,1.880621,1.659189,1.816581,1.544099,1.556774,1.796401,1.8494,1.817967,1.836457,1.865334,1.215214,1.436057,1.780527,10
1.835056,1.867776,1.858671,1.875961,1.662257,1.811756,1.519003,1.546787,1.801453,1.855166,1.808361,1.833035,1.855645,1.272028,1.454854,1.78981,10
1.90344,1.612896,1.907399,1.88828,1.797086,1.875467,1.553815,1.562596,1.837278,1.90099,1.827749,1.84333,1.914603,1.340722,1.517574,1.841178,10
1.862499,1.932769,1.887697,1.916384,1.667359,1.84268,1.561201,1.592771,1.836841,1.886005,1.846744,1.873307,1.881676,1.267199,1.492645,1.820412,10
1.89932,2.039756,1.936186,1.995646,1.663143,1.892374,1.649315,1.685463,1.899699,1.935674,1.925645,1.954276,1.928921,1.328821,1.554644,1.872023,10
1.910132,2.036429,1.937594,1.99541,1.685829,1.913605,1.65952,1.684263,1.916612,1.946686,1.932126,1.953957,1.944698,1.349154,1.571918,1.881114,10
1.957274,2.085905,1.975844,2.046242,1.728818,1.962006,1.70864,1.742226,1.976,1.997725,1.982769,2.007395,1.986898,1.438461,1.644248,1.935164,10
1.824935,1.840649,1.85065,1.843504,1.689611,1.80844,1.514539,1.516443,1.774019,1.837264,1.785531,1.798905,1.860588,1.209631,1.4176,1.765263,10
1.888921,1.9361,1.895384,1.935014,1.715912,1.873389,1.57712,1.616699,1.880689,1.917352,1.869185,1.896155,1.905977,1.349322,1.547293,1.852027,10
1.840781,1.908822,1.871952,1.896786,1.662021,1.825986,1.551112,1.573739,1.811798,1.863106,1.829752,1.852775,1.870863,1.209326,1.456677,1.795724,10
1.834436,1.872814,1.857376,1.879846,1.665208,1.822807,1.534832,1.55358,1.809133,1.857015,1.817018,1.836959,1.866107,1.256406,1.456364,1.790031,10
1.838908,1.912125,1.869681,1.894322,1.663334,1.823326,1.548079,1.572668,1.811117,1.861919,1.827454,1.850981,1.869523,1.201611,1.454664,1.793221,10
1.918789,2.010868,1.93015,1.985094,1.721394,1.905826,1.627934,1.675837,1.922969,1.953197,1.916583,1.947299,1.936427,1.35707,1.589911,1.887283,10
2.139468,1.815736,2.092508,2.161468,2.021408,2.124911,1.817909,1.894646,2.15706,2.165006,2.097744,2.134789,2.139206,1.649348,1.875749,2.106235,10
1.974904,2.131852,1.989002,2.095534,1.772936,1.958685,1.730625,1.823324,2.018513,2.029313,2.019559,2.069036,1.99869,1.406601,1.687772,1.961691,10
1.867886,1.850486,1.917832,1.956077,1.569429,1.852371,1.62778,1.649921,1.84485,1.900499,1.893253,1.916027,1.907324,1.480565,1.49593,1.831628,10
1.870085,1.883165,1.912855,1.97201,1.550314,1.881915,1.663225,1.673017,1.87856,1.914009,1.920723,1.934222,1.932354,1.516951,1.517928,1.841041,10
1.978331,2.230253,1.968429,2.05634,1.912967,1.998972,1.720842,1.768635,2.005072,2.014739,1.989029,2.0138,2.010883,1.142701,1.644275,1.928921,10
1.968809,2.10667,1.960011,1.964102,1.911868,1.960493,1.639625,1.657275,1.923112,1.973798,1.900308,1.916064,1.983471,1.098161,1.584417,1.892118,10
1.772083,1.816925,1.809046,1.876271,1.54494,1.787648,1.561999,1.561408,1.775794,1.82153,1.830273,1.837346,1.834122,1.601084,1.393686,1.732334,10
1.772881,1.810586,1.827941,1.870343,1.593622,1.781554,1.564109,1.556787,1.766725,1.815919,1.824821,1.831789,1.84726,1.554723,1.386427,1.739585,10
1.986428,2.178107,1.966169,2.02546,1.897339,1.979976,1.677607,1.735853,1.978234,2.009677,1.952518,1.983452,1.992422,1.096481,1.633919,1.918507,10
1.999757,2.158849,1.97035,2.020347,1.951293,2.00108,1.674027,1.724038,1.99331,2.018062,1.949968,1.975569,2.008272,1.114238,1.651015,1.932011,10
1.833512,1.80063,1.888978,1.914183,1.544989,1.794739,1.56588,1.599528,1.784666,1.85969,1.842238,1.873136,1.853992,1.431397,1.438656,1.78923,10
1.837387,1.816951,1.896366,1.92394,1.548033,1.803681,1.583794,1.611736,1.792789,1.865116,1.854415,1.88296,1.864327,1.427944,1.444469,1.795532,10
1.978932,2.176965,1.972388,2.024471,1.884725,1.957513,1.665249,1.735285,1.960928,1.999766,1.944319,1.98315,1.979726,1.056932,1.618866,1.914199,10
1.956445,2.159174,1.939034,1.969136,1.877261,1.943386,1.63203,1.693039,1.940266,1.978593,1.919317,1.955177,1.960851,1.077282,1.590694,1.891744,10
1.830465,1.813051,1.890083,1.918541,1.567654,1.801295,1.57407,1.60358,1.795238,1.859167,1.849216,1.877098,1.864409,1.457676,1.442477,1.795593,10
1.847739,1.844671,1.896924,1.942108,1.54107,1.842418,1.620103,1.636784,1.83562,1.885084,1.883709,1.902859,1.89799,1.45975,1.476591,1.812849,10
2.031904,2.093018,2.007493,1.983299,1.970123,1.976497,1.623286,1.689033,1.953355,2.021897,1.903023,1.941357,2.004438,1.066644,1.64462,1.940606,10
1.957707,2.154648,1.94599,2.001242,1.887759,1.935766,1.628081,1.702248,1.941758,1.978419,1.91797,1.958024,1.952731,1.051325,1.59867,1.894906,10
1.826844,1.811363,1.881694,1.917101,1.546854,1.809582,1.586118,1.603893,1.79792,1.859539,1.85463,1.876436,1.868285,1.458597,1.441354,1.789348,10
1.818494,1.831429,1.875797,1.914259,1.570319,1.817723,1.600849,1.605399,1.80599,1.856618,1.860952,1.874889,1.8817,1.483633,1.439297,1.78675,10
1.988804,2.151201,1.988844,2.013495,1.847065,1.960131,1.669593,1.719258,1.937785,1.998419,1.935672,1.968587,1.981903,1.042187,1.605516,1.910627,10
1.97527,2.109379,1.966942,1.974462,1.882363,1.943081,1.623762,1.671292,1.917592,1.978515,1.897331,1.928338,1.966086,1.038878,1.587324,1.8944,10
1.834523,1.795514,1.885805,1.915316,1.544353,1.820167,1.590511,1.600724,1.800668,1.863491,1.855136,1.87382,1.875024,1.448374,1.445476,1.793208,10
1.827816,1.840499,1.882851,1.924128,1.567215,1.828741,1.609963,1.616095,1.818645,1.866432,1.870466,1.884626,1.890327,1.487049,1.452986,1.796748,10
1.985842,2.159987,1.981912,2.010591,1.894587,1.978395,1.681477,1.715649,1.954852,1.999315,1.942967,1.966586,2.000037,1.073078,1.611932,1.914793,10
1.992007,2.182098,1.986271,2.032845,1.886508,1.993626,1.70304,1.737601,1.972874,2.010265,1.963307,1.985825,2.007549,1.081945,1.626396,1.923673,10
1.829335,1.806209,1.888431,1.909766,1.584094,1.814616,1.587246,1.595433,1.796548,1.857749,1.851053,1.86914,1.878353,1.453661,1.438568,1.793041,10
1.829097,1.838727,1.886831,1.921734,1.585737,1.832108,1.614723,1.613287,1.816694,1.866139,1.870564,1.88183,1.896125,1.481966,1.451135,1.797445,10
1.523972,1.781757,1.498383,1.483409,1.954844,1.509635,1.097758,1.057459,1.477709,1.55292,1.45693,1.445285,1.565211,1.706896,1.078989,1.458404,10
1.475982,1.902666,1.512444,1.510117,1.895391,1.467975,1.140012,1.086509,1.439764,1.517845,1.481491,1.472544,1.544732,1.682056,1.009857,1.438579,10
1.824339,1.823594,1.880165,1.915706,1.560251,1.818018,1.599692,1.604176,1.80141,1.859494,1.860421,1.875684,1.878156,1.472,1.43971,1.787502,10
1.837899,1.850728,1.889127,1.935462,1.55087,1.84929,1.634179,1.627844,1.831143,1.878265,1.887013,1.895221,1.903377,1.502571,1.465971,1.804115,10
1.990671,2.149891,1.987778,2.004871,1.889492,1.974099,1.677414,1.711982,1.94446,2.001448,1.937106,1.961887,1.998951,1.077664,1.611239,1.913232,10
1.973454,2.187177,1.966681,2.027359,1.878731,1.982348,1.696131,1.73217,1.968866,1.998454,1.959543,1.981752,1.995221,1.097695,1.616113,1.91104,10
1.83439,1.818369,1.886934,1.920362,1.560572,1.824637,1.596065,1.607884,1.811327,1.866911,1.861405,1.879471,1.882961,1.463953,1.452359,1.798038,10
1.852171,1.850419,1.891165,1.94457,1.544224,1.861804,1.634347,1.641341,1.853272,1.89419,1.89423,1.906207,1.911593,1.51747,1.491593,1.81735,10
1.770678,2.042675,1.77579,1.764976,1.923879,1.742215,1.428105,1.424785,1.71569,1.794329,1.720503,1.724766,1.795781,1.434838,1.369166,1.707521,10
2.008063,2.084484,1.979339,1.965221,1.959877,1.979235,1.621937,1.659177,1.944094,2.002195,1.894292,1.917938,1.99661,1.091083,1.62347,1.919196,10
1.770156,1.769151,1.821652,1.847161,1.599439,1.764038,1.52952,1.52922,1.747163,1.805389,1.797522,1.808861,1.83254,1.516121,1.37318,1.730487,10
1.801633,1.849449,1.838032,1.913864,1.522461,1.802993,1.588502,1.611951,1.806176,1.853143,1.860201,1.878519,1.851814,1.578249,1.434727,1.762578,10
1.97288,2.189538,1.971996,2.025051,1.878953,1.983709,1.707424,1.733611,1.964732,1.99816,1.962577,1.980906,2.00335,1.118963,1.612448,1.909888,10
1.974159,2.229619,1.952787,2.054327,1.912406,2.017404,1.733146,1.76319,2.014409,2.008518,1.997236,2.011215,2.019919,1.193884,1.653676,1.9268,10
1.82565,1.817687,1.882795,1.913646,1.547358,1.791976,1.571737,1.602025,1.78272,1.857035,1.846375,1.87555,1.852831,1.451902,1.433519,1.783,10
1.846543,1.863517,1.889584,1.950064,1.513413,1.84592,1.629552,1.648836,1.843573,1.890378,1.89405,1.912997,1.895794,1.499674,1.482962,1.81088,10
1.485765,1.885348,1.500898,1.520784,1.864689,1.452622,1.099556,1.113592,1.454835,1.529215,1.470738,1.484639,1.526785,1.598679,1.02835,1.437636,10
1.454086,1.92236,1.477786,1.53351,1.868935,1.44483,1.120583,1.121053,1.454011,1.51402,1.488527,1.496479,1.511255,1.663918,1.01326,1.424105,10
1.827527,1.808617,1.889933,1.90908,1.583322,1.79857,1.573827,1.594605,1.7852,1.854212,1.843467,1.868452,1.8651,1.440864,1.431858,1.788989,10
1.842351,1.837202,1.889247,1.935562,1.543729,1.838775,1.610737,1.626957,1.832005,1.880081,1.877501,1.895697,1.892482,1.49094,1.472826,1.808797,10
1.961842,2.159038,1.955259,1.998823,1.898866,1.951113,1.651126,1.703735,1.945539,1.981621,1.926267,1.956714,1.974769,1.070703,1.598075,1.898193,10
1.978833,2.157266,1.957542,2.01436,1.922889,1.975859,1.661104,1.718532,1.974017,2.000072,1.940433,1.970358,1.987528,1.092092,1.627517,1.915123,10
1.828636,1.820682,1.882367,1.922407,1.543662,1.809376,1.585259,1.610908,1.804317,1.863049,1.857768,1.882475,1.868299,1.464715,1.447936,1.793304,10
1.842052,1.841804,1.891152,1.938141,1.553909,1.837116,1.610623,1.629895,1.833935,1.880125,1.87896,1.898497,1.893216,1.498566,1.474108,1.811504,10
1.490508,1.854488,1.47362,1.494879,1.934168,1.460741,1.047175,1.06919,1.4668,1.530273,1.445372,1.458197,1.517126,1.648798,1.04902,1.439695,10
1.456869,1.913332,1.476193,1.524214,1.887116,1.447456,1.111807,1.110857,1.456047,1.514289,1.481236,1.487427,1.516441,1.670203,1.015779,1.425546,10
1.824788,1.814707,1.882296,1.912303,1.572688,1.812077,1.586266,1.598535,1.799291,1.856723,1.852815,1.871733,1.874541,1.469275,1.438884,1.790586,10
1.835698,1.845944,1.885597,1.930962,1.562584,1.841725,1.62167,1.626028,1.831307,1.875861,1.879725,1.892084,1.90026,1.492337,1.465271,1.80295,10
1.997972,2.141131,1.981731,2.001984,1.932386,1.978507,1.65969,1.708852,1.962089,2.007313,1.930003,1.95861,2.001529,1.079016,1.627826,1.922228,10
1.946737,2.134568,1.929721,1.976035,1.908081,1.946215,1.631921,1.674662,1.935946,1.967607,1.908057,1.931805,1.963699,1.1024,1.585633,1.881712,10
1.82699,1.820639,1.88187,1.912574,1.579162,1.823468,1.598081,1.601062,1.807514,1.860872,1.858539,1.872222,1.885965,1.471521,1.444288,1.791965,10
1.836494,1.846873,1.889748,1.930406,1.568485,1.845444,1.630612,1.624804,1.8275,1.875428,1.882057,1.890689,1.904462,1.485544,1.461179,1.801713,10
1.968646,2.17215,1.961431,2.015604,1.863851,1.960253,1.671775,1.722582,1.9525,1.99122,1.942397,1.972384,1.97778,1.072875,1.606184,1.901876,10
1.9642,2.118229,1.935231,1.972093,1.923206,1.956433,1.622271,1.668955,1.94295,1.979438,1.902441,1.927564,1.968192,1.102125,1.602263,1.891159,10
1.828607,1.81977,1.885512,1.912353,1.579492,1.824591,1.600568,1.599198,1.804084,1.860598,1.858486,1.870982,1.886522,1.466814,1.441919,1.792022,10
1.832223,1.832266,1.883761,1.921495,1.566433,1.836702,1.611757,1.611324,1.820234,1.868752,1.869765,1.880723,1.894547,1.489563,1.455068,1.797662,10
1.960873,2.127916,1.95405,1.979863,1.891764,1.939231,1.626331,1.677518,1.924964,1.972372,1.904015,1.935365,1.962334,1.046218,1.584704,1.890314,10
1.957406,2.144918,1.962729,1.995917,1.863795,1.933142,1.63904,1.694765,1.922859,1.971057,1.915241,1.950274,1.959056,1.032229,1.580541,1.892145,10
1.822002,1.819518,1.883475,1.909608,1.585512,1.812654,1.59223,1.595529,1.794998,1.853912,1.852955,1.868215,1.877977,1.469333,1.43333,1.787405,10
1.813284,1.822186,1.872587,1.905565,1.56593,1.804592,1.587413,1.594116,1.790337,1.848276,1.849237,1.865416,1.869061,1.469421,1.425106,1.777302,10
1.979599,2.155088,1.963277,2.013443,1.853631,1.96222,1.66606,1.722637,1.95254,1.999454,1.939108,1.971904,1.975549,1.079905,1.615857,1.904646,10
1.461918,1.930334,1.472034,1.549678,1.876046,1.459363,1.120977,1.13207,1.473426,1.524475,1.499157,1.509399,1.506896,1.673257,1.03419,1.432217,10
1.811889,1.724053,1.849846,1.864152,1.571023,1.796088,1.533412,1.543139,1.777646,1.836938,1.807715,1.823059,1.854269,1.470674,1.419139,1.765864,10
1.868786,1.859986,1.917261,1.917736,1.616795,1.835184,1.600717,1.640128,1.833467,1.900254,1.881238,1.91503,1.900065,1.490964,1.487171,1.830878,10
1.869845,1.873228,1.910271,1.972479,1.541972,1.865774,1.641931,1.674288,1.873729,1.912627,1.912069,1.936031,1.916696,1.514417,1.518379,1.840661,10
1.486946,1.906337,1.51189,1.53705,1.877801,1.428467,1.086302,1.133683,1.449747,1.531867,1.475092,1.504895,1.507796,1.621612,1.035852,1.446933,10
1.522027,1.886714,1.564206,1.533468,1.904115,1.436921,1.097342,1.119639,1.431352,1.545933,1.470175,1.496821,1.52859,1.659214,1.051074,1.474022,10
1.837471,1.82312,1.892586,1.92467,1.548328,1.799238,1.571424,1.614352,1.799834,1.866824,1.852326,1.886373,1.860322,1.444459,1.450482,1.798898,10
1.820115,1.840364,1.873696,1.929837,1.546238,1.803986,1.578888,1.625471,1.815275,1.845731,1.863964,1.894292,1.872714,1.48607,1.462134,1.798507,10
1.477379,1.85634,1.470962,1.502692,1.884385,1.446895,1.065114,1.079249,1.448697,1.521854,1.453115,1.465502,1.502638,1.653026,1.030466,1.426678,10
1.605828,1.778274,1.543818,1.491298,2.07023,1.548337,1.04333,1.052778,1.525178,1.610761,1.44421,1.451471,1.586042,1.746257,1.180271,1.525943,10
2.160264,1.199552,2.170239,2.088115,2.046146,2.084969,1.794728,1.802003,2.035043,2.130823,2.031965,2.052574,2.142348,1.972374,1.808953,2.097386,10
1.844147,1.826251,1.897961,1.931437,1.521622,1.806132,1.589067,1.622512,1.796073,1.873211,1.861466,1.892852,1.860771,1.437297,1.451862,1.797472,10
1.863363,1.857448,1.901673,1.958235,1.555711,1.860971,1.634067,1.661068,1.866295,1.905525,1.901804,1.923063,1.915297,1.501524,1.508695,1.83147,10
1.977799,1.575752,1.99884,1.970282,1.878314,1.946716,1.685554,1.69308,1.92139,1.983612,1.926535,1.939998,2.022638,1.599779,1.614458,1.92318,10
1.465734,1.910522,1.461617,1.524916,1.922241,1.459507,1.093095,1.110982,1.478721,1.525676,1.480449,1.490429,1.514936,1.688755,1.043203,1.433237,10
1.479063,1.867941,1.498881,1.49758,1.924305,1.438043,1.067805,1.062744,1.430664,1.515365,1.44847,1.457741,1.510324,1.688887,1.021,1.437506,10
1.847045,1.819691,1.88913,1.940472,1.503411,1.82685,1.599422,1.633356,1.824656,1.882559,1.873973,1.901674,1.875259,1.463401,1.47353,1.806868,10
1.852759,1.826474,1.891566,1.943416,1.562345,1.845081,1.610326,1.641884,1.85077,1.891791,1.883368,1.90686,1.900984,1.500534,1.494316,1.821915,10
1.607801,2.067755,1.609412,1.710975,2.008328,1.623033,1.332846,1.352778,1.652644,1.677248,1.66854,1.678228,1.462749,1.822219,1.254776,1.590944,10
1.456658,1.913706,1.4818,1.532552,1.907144,1.443463,1.108427,1.111396,1.455253,1.51345,1.484424,1.493878,1.509447,1.694067,1.02195,1.433365,10
2.05722,2.04303,2.100473,2.140773,1.780693,2.033014,1.834228,1.866436,2.031361,2.087185,2.078615,2.105332,1.852884,1.735307,1.725614,2.021517,10
1.837281,1.840584,1.884015,1.932884,1.564805,1.831963,1.603043,1.62812,1.834723,1.876966,1.874101,1.895086,1.891242,1.506338,1.472055,1.807828,10
1.468267,1.896066,1.50907,1.513855,1.889002,1.435251,1.113669,1.098866,1.428792,1.512827,1.47138,1.478058,1.523976,1.668433,1.005574,1.433126,10
1.698338,2.060097,1.727282,1.727495,2.092192,1.671001,1.385523,1.36977,1.661136,1.733145,1.689679,1.69345,1.488394,1.892545,1.319961,1.667559,10
1.836583,1.82736,1.888022,1.92804,1.559129,1.825909,1.599028,1.620314,1.821746,1.871851,1.867767,1.889316,1.886109,1.464703,1.461662,1.804152,10
1.871645,1.888119,1.911533,1.975232,1.559365,1.885958,1.670071,1.681589,1.885816,1.91839,1.926131,1.939376,1.937988,1.528567,1.523663,1.842322,10
1.489885,1.884411,1.473064,1.515849,1.9298,1.499768,1.12254,1.104833,1.496631,1.542458,1.485993,1.480386,1.553083,1.686294,1.064843,1.445221,10
1.472607,1.858745,1.457774,1.51709,1.961419,1.495605,1.124621,1.093455,1.494235,1.531516,1.490385,1.478849,1.542052,1.762757,1.062486,1.441621,10
1.828235,1.833022,1.877913,1.926069,1.527001,1.819572,1.60082,1.619686,1.813255,1.867172,1.867737,1.888387,1.875531,1.47203,1.451857,1.79199,10
1.831978,1.852388,1.884753,1.932287,1.581479,1.83829,1.621986,1.629746,1.833439,1.874747,1.881525,1.895028,1.901644,1.507078,1.466572,1.804478,10
1.504148,1.813022,1.492298,1.472556,1.933046,1.462013,1.038578,1.039626,1.446388,1.529935,1.427687,1.43603,1.526127,1.633921,1.04174,1.442363,10
1.485406,1.845612,1.492236,1.485641,1.933121,1.446911,1.052991,1.045283,1.434275,1.517748,1.437925,1.44457,1.512724,1.682275,1.026381,1.437019,10
1.816705,1.807169,1.879936,1.902133,1.596702,1.807558,1.586978,1.587835,1.788258,1.847229,1.84626,1.860634,1.87564,1.466956,1.424981,1.782615,10
1.856694,1.60363,1.858338,1.837242,1.693158,1.859559,1.5501,1.517418,1.811669,1.869678,1.80572,1.797717,1.910515,1.567511,1.472649,1.794295,10
1.470261,1.945099,1.481556,1.554607,1.917542,1.507373,1.194609,1.155882,1.508206,1.540648,1.532799,1.519151,1.56751,1.7349,1.059337,1.447829,10
1.470414,1.899458,1.499942,1.520661,1.913774,1.483471,1.172646,1.110366,1.46207,1.524771,1.501722,1.48482,1.561842,1.73224,1.029236,1.439768,10
1.842905,1.835848,1.886614,1.939094,1.513264,1.850157,1.636045,1.633687,1.829734,1.883036,1.889016,1.899474,1.896706,1.492063,1.469388,1.801496,10
1.84418,1.837051,1.884497,1.92603,1.591888,1.857241,1.624894,1.623521,1.845462,1.883828,1.880777,1.888406,1.915252,1.520632,1.479432,1.809978,10
1.460582,1.904851,1.495553,1.52013,1.88143,1.44914,1.130413,1.106234,1.441975,1.512405,1.482874,1.483131,1.528946,1.669211,1.00577,1.428227,10
1.77421,1.870007,1.775309,1.725597,1.95472,1.735086,1.366852,1.366296,1.684814,1.764219,1.663765,1.679705,1.783718,1.436356,1.340298,1.695412,10
1.819697,1.835302,1.868259,1.916005,1.52966,1.818516,1.601443,1.610515,1.807543,1.860384,1.864067,1.879748,1.874237,1.491158,1.441126,1.782076,10
1.836331,1.868581,1.885909,1.938494,1.581323,1.851797,1.642271,1.64083,1.843324,1.882123,1.893897,1.902323,1.912867,1.527261,1.472968,1.805941,10
1.823511,1.919561,1.793194,1.793336,1.996889,1.835949,1.471611,1.456729,1.790627,1.83057,1.749447,1.749358,1.860867,1.493313,1.431462,1.746891,10
1.48433,1.939424,1.515438,1.545432,1.888887,1.515893,1.217685,1.134881,1.480565,1.540456,1.530461,1.504978,1.580989,1.72399,1.042577,1.450306,10
1.828292,1.848786,1.887945,1.919109,1.623336,1.838543,1.628688,1.617048,1.819938,1.867399,1.876032,1.882231,1.908666,1.501683,1.451169,1.79732,10
1.8302,1.853758,1.885131,1.927096,1.587993,1.843525,1.634999,1.62454,1.825896,1.872126,1.883089,1.889167,1.906551,1.50613,1.457068,1.797383,10
1.50904,1.80463,1.520216,1.503552,1.931419,1.441727,1.057308,1.074067,1.434036,1.534219,1.446068,1.465449,1.514092,1.690525,1.050458,1.457862,10
1.490595,1.900438,1.512111,1.539777,1.866111,1.441427,1.092534,1.119638,1.44641,1.531908,1.477032,1.499549,1.503157,1.641594,1.035613,1.446827,10
1.864264,1.796216,1.916004,1.941228,1.564141,1.801311,1.565232,1.631417,1.807152,1.885412,1.856172,1.902534,1.860481,1.438527,1.476477,1.821675,10
1.862823,1.802412,1.912311,1.930295,1.583563,1.804431,1.55503,1.619025,1.812625,1.883257,1.847363,1.890918,1.86753,1.430708,1.477742,1.822267,10
1.504455,1.892394,1.536914,1.551063,1.897475,1.431314,1.097393,1.143131,1.447392,1.542855,1.483652,1.515881,1.511352,1.671804,1.055671,1.466483,10
